year,yearclass,index
1992,1991,163.019025062868
1993,1992,195.757075157712
1994,1993,155.661540406934
1995,1994,171.246480449997
1996,1995,105.595746727221
1997,1996,133.495647279985
1998,1997,51.7224333988324
1999,1998,255.174447756838
2000,1999,110.599758263539
2001,2000,341.54430868493
2002,2001,150.701640013287
2003,2002,72.4404950504612
2004,2003,43.10615522967
2005,2004,68.7302994033528
2006,2005,67.2794153460702
2007,2006,50.7622619031794
2008,2007,39.4865184380299
2009,2008,92.3613656313676
2010,2009,56.5338280834286
2011,2010,77.6192206403399
2012,2011,65.1007060359833
2013,2012,61.5471311325859
2014,2013,113.745544857772
2015,2014,21.760083833274
2016,2015,81.7088920801917
2017,2016,27.8303126769723
2018,2017,102.154654345925
2019,2018,51.6255903878376
2020,2019,62.3906928660043
2021,2020,95.2375967802934
