"Fbar","Yield","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners","Landings"
"Ages 3-6","Tonnes","Tonnes","Number","","","Number","Tonnes"
"0","0","1174514","4064116","0","0.289","7721146","0"
"0.01","12407","1098459","4054353","0.0031","0.271","7284718","12407"
"0.02","23369","1029638","4044325","0.0058","0.255","6887655","23369"
"0.03","33081","967122","4034030","0.0082","0.24","6524962","33081"
"0.04","41708","910129","4023467","0.0104","0.226","6192451","41708"
"0.051","49387","858001","4012635","0.0123","0.214","5886580","49387"
"0.061","56235","810178","4001532","0.0141","0.202","5604338","56235"
"0.071","62351","766180","3990157","0.0156","0.192","5343149","62351"
"0.081","67821","725597","3978509","0.017","0.182","5100791","67821"
"0.091","72718","688071","3966587","0.0183","0.173","4875345","72718"
"0.101","77104","653293","3954390","0.0195","0.165","4665139","77104"
"0.111","81034","620994","3941916","0.0206","0.158","4468715","81034"
"0.121","84557","590935","3929165","0.0215","0.15","4284790","84557"
"0.131","87713","562909","3916135","0.0224","0.144","4112237","87713"
"0.141","90541","536731","3902825","0.0232","0.138","3950057","90541"
"0.152","93071","512239","3889234","0.0239","0.132","3797363","93071"
"0.162","95332","489287","3875361","0.0246","0.126","3653368","95332"
"0.172","97350","467746","3861205","0.0252","0.121","3517366","97350"
"0.182","99147","447500","3846765","0.0258","0.116","3388725","99147"
"0.192","100743","428444","3832040","0.0263","0.112","3266878","100743"
"0.202","102155","410486","3817028","0.0268","0.108","3151313","102155"
"0.212","103400","393541","3801729","0.0272","0.104","3041568","103400"
"0.222","104491","377533","3786141","0.0276","0.1","2937225","104491"
"0.232","105442","362393","3770264","0.028","0.096","2837905","105442"
"0.242","106263","348058","3754097","0.0283","0.093","2743262","106263"
"0.253","106966","334471","3737637","0.0286","0.089","2652981","106966"
"0.263","107560","321581","3720885","0.0289","0.086","2566774","107560"
"0.273","108052","309339","3703838","0.0292","0.084","2484379","108052"
"0.283","108451","297702","3686497","0.0294","0.081","2405555","108451"
"0.293","108764","286631","3668859","0.0296","0.078","2330079","108764"
"0.303","108996","276088","3650923","0.0299","0.076","2257748","108996"
"0.313","109154","266041","3632689","0.03","0.073","2188375","109154"
"0.323","109243","256458","3614155","0.0302","0.071","2121785","109243"
"0.333","109267","247311","3595320","0.0304","0.069","2057819","109267"
"0.343","109231","238573","3576182","0.0305","0.067","1996329","109231"
"0.354","109138","230221","3556741","0.0307","0.065","1937176","109138"
"0.364","108993","222231","3536994","0.0308","0.063","1880234","108993"
"0.374","108798","214583","3516942","0.0309","0.061","1825384","108798"
"0.384","108557","207257","3496582","0.031","0.059","1772515","108557"
"0.394","108273","200235","3475913","0.0311","0.058","1721524","108273"
"0.404","107947","193501","3454934","0.0312","0.056","1672317","107947"
"0.414","107582","187039","3433644","0.0313","0.054","1624802","107582"
"0.424","107181","180833","3412041","0.0314","0.053","1578897","107181"
"0.434","106745","174872","3390123","0.0315","0.052","1534523","106745"
"0.444","106276","169141","3367890","0.0316","0.05","1491607","106276"
"0.455","105776","163630","3345339","0.0316","0.049","1450080","105776"
"0.465","105247","158327","3322471","0.0317","0.048","1409877","105247"
"0.475","104689","153221","3299282","0.0317","0.046","1370937","104689"
"0.485","104104","148303","3275771","0.0318","0.045","1333204","104104"
"0.495","103493","143564","3251938","0.0318","0.044","1296624","103493"
"0.505","102858","138994","3227780","0.0319","0.043","1261146","102858"
"0.515","102198","134587","3203296","0.0319","0.042","1226722","102198"
"0.525","101516","130334","3178485","0.0319","0.041","1193307","101516"
"0.535","100813","126228","3153344","0.032","0.04","1160859","100813"
"0.545","100088","122263","3127873","0.032","0.039","1129338","100088"
"0.556","99343","118432","3102070","0.032","0.038","1098705","99343"
"0.566","98578","114729","3075933","0.032","0.037","1068925","98578"
"0.576","97794","111148","3049461","0.0321","0.036","1039963","97794"
"0.586","96991","107685","3022652","0.0321","0.036","1011787","96991"
"0.596","96171","104333","2995505","0.0321","0.035","984366","96171"
"0.606","95333","101089","2968017","0.0321","0.034","957672","95333"
"0.616","94479","97947","2940187","0.0321","0.033","931677","94479"
"0.626","93607","94904","2912014","0.0321","0.033","906354","93607"
"0.636","92720","91955","2883496","0.0322","0.032","881678","92720"
"0.646","91817","89097","2854632","0.0322","0.031","857626","91817"
"0.657","90898","86325","2825418","0.0322","0.031","834175","90898"
"0.667","89964","83637","2795855","0.0322","0.03","811304","89964"
"0.677","89016","81028","2765940","0.0322","0.029","788991","89016"
"0.687","88052","78497","2735672","0.0322","0.029","767218","88052"
"0.697","87075","76040","2705048","0.0322","0.028","745965","87075"
"0.707","86083","73653","2674068","0.0322","0.028","725215","86083"
"0.717","85077","71335","2642729","0.0322","0.027","704950","85077"
"0.727","84057","69082","2611030","0.0322","0.026","685155","84057"
"0.737","83024","66893","2578969","0.0322","0.026","665814","83024"
"0.747","81977","64765","2546545","0.0322","0.025","646911","81977"
"0.758","80917","62696","2513755","0.0322","0.025","628433","80917"
"0.768","79844","60683","2480598","0.0322","0.024","610366","79844"
"0.778","78757","58725","2447072","0.0322","0.024","592697","78757"
"0.788","77658","56819","2413176","0.0322","0.024","575412","77658"
"0.798","76545","54965","2378907","0.0322","0.023","558501","76545"
"0.808","75420","53159","2344264","0.0322","0.023","541952","75420"
"0.818","74282","51400","2309246","0.0322","0.022","525753","74282"
"0.828","73132","49687","2273850","0.0322","0.022","509894","73132"
"0.838","71969","48019","2238075","0.0322","0.021","494365","71969"
"0.848","70793","46392","2201919","0.0322","0.021","479156","70793"
"0.859","69605","44808","2165381","0.0321","0.021","464257","69605"
"0.869","68404","43262","2128458","0.0321","0.02","449659","68404"
"0.879","67191","41756","2091149","0.0321","0.02","435354","67191"
"0.889","65965","40287","2053452","0.0321","0.02","421333","65965"
"0.899","64727","38853","2015366","0.0321","0.019","407589","64727"
"0.909","63476","37455","1976888","0.0321","0.019","394112","63476"
"0.919","62213","36091","1938017","0.0321","0.019","380897","62213"
"0.929","60938","34759","1898751","0.0321","0.018","367935","60938"
"0.939","59650","33459","1859089","0.0321","0.018","355220","59650"
"0.949","58350","32189","1819029","0.0321","0.018","342745","58350"
"0.96","57038","30950","1778569","0.0321","0.017","330503","57038"
"0.97","55713","29739","1737707","0.0321","0.017","318488","55713"
"0.98","54376","28556","1696442","0.0321","0.017","306695","54376"
"0.99","53026","27401","1654772","0.032","0.017","295116","53026"
"1","51664","26271","1612695","0.032","0.016","283748","51664"
