"a). Catch(2011) = Zero"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","1754829.23582991","1754829.23582991","1754829.23582991","0.00596247884813720","0","0"," ","2011","95711.1974095847","0.381203423491287","61820"
"1","2920754.69920128","1292281.25566711","1300009.47208777","0.130728351496740","0","0"," ","2012","116938.541052216","0","0"
"2","867951.241784258","1554437.41631674","783808.202534043","0.302326217772936","0","0"," ","2013","198846.29796813","0","0"
"3","356035.201596540","525215.850681382","1272665.7164736","0.341337568182419","0","0"," ","","","",""
"4","208575.871996261","207201.559866534","430010.368956861","0.36110278141241","0","0"," ","","","",""
"5","108515.780612053","119009.115152639","169642.289148460","0.417244536999248","0","0"," ","","","",""
"6","67084.8276436545","58536.5338070115","97436.4224720642","0.405128807371073","0","0"," ","","","",""
"7","37185.0599643034","36628.5904554180","47925.6604063892","0.36110278141241","0","0"," ","","","",""
"8","65129.2736523462","58378.4605314637","77785.1944022079","0.36110278141241","0","0"," ","","","",""
""
"b). Catch(2011) = 2009 IMC -15% (52 547 t)"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","1754829.23582991","1754829.23582991","1754829.23582991","0.00596247884813720","0.00429768983021732","0.00429768983021732"," ","2011","95711.1974095847","0.381203423491287","61820"
"1","2920754.69920128","1292281.25566711","1294434.42309706","0.130728351496740","0.094227572299756","0.094227572299756"," ","2012","113959.676923658","0.274767276850696","52547"
"2","867951.241784258","1554437.41631674","713324.744244496","0.302326217772936","0.217913445837505","0.217913445837505"," ","2013","153117.500037055","0.274767276850696","55859.6842265819"
"3","356035.201596540","525215.850681382","1023471.46323494","0.341337568182419","0.246032402430576","0.246032402430576"," ","","","",""
"4","208575.871996261","207201.559866534","336223.769791909","0.36110278141241","0.260278952909686","0.260278952909686"," ","","","",""
"5","108515.780612053","119009.115152639","130766.473290801","0.417244536999248","0.300745319027107","0.300745319027107"," ","","","",""
"6","67084.8276436545","58536.5338070115","72128.8980464326","0.405128807371073","0.292012433035413","0.292012433035413"," ","","","",""
"7","37185.0599643034","36628.5904554180","35788.9302894317","0.36110278141241","0.260278952909686","0.260278952909686"," ","","","",""
"8","65129.2736523462","58378.4605314637","59959.6692385736","0.36110278141241","0.260278952909686","0.260278952909686"," ","","","",""
""
"c). Catch(2011) = 2009 IMC (61 820 t)"
