NEA Mackerel 
1
./res/NEAMac Assessment-LATON.txt
./res/NEAMac Assessment-LANUM.txt
./res/NEAMac Assessment-WELAND.txt
./res/NEAMac Assessment-WEST.txt
./res/NEAMac Assessment-NATMOR.txt
./res/NEAMac Assessment-MATPROP.txt
./res/NEAMac Assessment-FPROP.txt
./res/NEAMac Assessment-MPROP.txt
./res/NEAMac Assessment-F.txt
./res/NEAMac Assessment-N.txt
./res/NEAMac Assessment-DISTON.txt
./res/NEAMac Assessment-DISNUM.txt
./res/NEAMac Assessment-WEDIS.txt
./res/NEAMac Assessment-CATON.txt
./res/NEAMac Assessment-CANUM.txt
./res/NEAMac Assessment-WECA.txt
