"a). Catch(2012) = Zero"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","3899157.3872628","3899157.3872628","3899157.3872628","0.00497123785893256","0","0"," ","2011","2904689.83742477","0.312184402626927","934567"
"1","3342307.19057031","3339393.61257811","3356035.86455378","0.0179718423915589","0","0"," ","2012","2968563.80089106","0","0"
"2","2937399.57088838","2825511.75877637","2874242.71876887","0.054318917475594","0","0"," ","2013","3414767.93720382","0","0"
"3","2623823.97224358","2394575.02559180","2431940.50826162","0.129281855927553","0","0"," ","","","",""
"4","2041355.43904404","1984468.12107829","2061029.8246751","0.210696874707697","0","0"," ","","","",""
"5","2564888.78377563","1423213.21596259","1708047.54077334","0.275107997642054","0","0"," ","","","",""
"6","1744886.10793015","1676665.70333024","1224970.96713256","0.342981617944291","0","0"," ","","","",""
"7","696902.462641153","1065780.79129990","1443119.54465466","0.359825467813115","0","0"," ","","","",""
"8","333463.137158859","418559.893478337","917326.028192436","0.37231005502748","0","0"," ","","","",""
"9","414946.437650187","197793.245596132","360257.838928427","0.393203513805348","0","0"," ","","","",""
"10","147652.321580531","241035.911362443","170242.224167592","0.457616518417659","0","0"," ","","","",""
"11","34739.4126067767","80418.4649350538","207461.531514538","0.412661996463080","0","0"," ","","","",""
"12","46035.7391876411","46016.838988495","108823.874588725","0.412661996463080","0","0"," ","","","",""
""
"b). Catch(2012) = 2011 catch -20%"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","3899157.3872628","3899157.3872628","3899157.3872628","0.00497123785893256","0.00418878726437725","0.00418878726437725"," ","2011","2904689.83742477","0.312184402626927","934567"
"1","3342307.19057031","3339393.61257811","3342007.54559909","0.0179718423915589","0.0151431548164387","0.0151431548164387"," ","2012","2702118.37297724","0.263047974562553","747653.6"
"2","2937399.57088838","2825511.75877637","2831045.51276556","0.054318917475594","0.0457693629218906","0.0457693629218906"," ","2013","2572772.38617893","0.263047974562553","707034.598408969"
"3","2623823.97224358","2394575.02559180","2323140.97560470","0.129281855927553","0.108933470292783","0.108933470292783"," ","","","",""
"4","2041355.43904404","1984468.12107829","1848311.09866305","0.210696874707697","0.177534129418865","0.177534129418865"," ","","","",""
"5","2564888.78377563","1423213.21596259","1430203.58280483","0.275107997642054","0.231807229819174","0.231807229819174"," ","","","",""
"6","1744886.10793015","1676665.70333024","971523.24221217","0.342981617944291","0.288997845995049","0.288997845995049"," ","","","",""
"7","696902.462641153","1065780.79129990","1080916.48109843","0.359825467813115","0.303190549264484","0.303190549264484"," ","","","",""
"8","333463.137158859","418559.893478337","677407.08377971","0.37231005502748","0.313710118315193","0.313710118315193"," ","","","",""
"9","414946.437650187","197793.245596132","263251.507111592","0.393203513805348","0.331315040171883","0.331315040171883"," ","","","",""
"10","147652.321580531","241035.911362443","122230.331855035","0.457616518417659","0.385589726082458","0.385589726082458"," ","","","",""
"11","34739.4126067767","80418.4649350538","141084.105592441","0.412661996463080","0.347710844728762","0.347710844728762"," ","","","",""
"12","46035.7391876411","46016.838988495","76862.6375762477","0.412661996463080","0.347710844728762","0.347710844728762"," ","","","",""
""
"c). Catch(2012) = 2011 catch"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","3899157.3872628","3899157.3872628","3899157.3872628","0.00497123785893256","0.00541609672427677","0.00541609672427677"," ","2011","2904689.83742477","0.312184402626927","934567"
"1","3342307.19057031","3339393.61257811","3337908.38410771","0.0179718423915589","0.0195800803478434","0.0195800803478434"," ","2012","2629472.28056725","0.340120704021404","934567"
"2","2937399.57088838","2825511.75877637","2818512.19989854","0.054318917475594","0.059179729345921","0.059179729345921"," ","2013","2378036.00226249","0.340120704021404","831085.5553478"
"3","2623823.97224358","2394575.02559180","2292194.76763509","0.129281855927553","0.140850841634842","0.140850841634842"," ","","","",""
"4","2041355.43904404","1984468.12107829","1790249.38457793","0.210696874707697","0.229551408583122","0.229551408583122"," ","","","",""
"5","2564888.78377563","1423213.21596259","1357710.08632046","0.275107997642054","0.299726459914635","0.299726459914635"," ","","","",""
"6","1744886.10793015","1676665.70333024","907729.078590606","0.342981617944291","0.373673855516158","0.373673855516158"," ","","","",""
"7","696902.462641153","1065780.79129990","993156.787523987","0.359825467813115","0.392025003195568","0.392025003195568"," ","","","",""
"8","333463.137158859","418559.893478337","619825.473281517","0.37231005502748","0.405626792897538","0.405626792897538"," ","","","",""
"9","414946.437650187","197793.245596132","240133.063616194","0.393203513805348","0.428389934967333","0.428389934967333"," ","","","",""
"10","147652.321580531","241035.911362443","110922.563972857","0.457616518417659","0.498567036361646","0.498567036361646"," ","","","",""
"11","34739.4126067767","80418.4649350538","126012.221191447","0.412661996463080","0.449589689871953","0.449589689871953"," ","","","",""
"12","46035.7391876411","46016.838988495","69417.6429257022","0.412661996463080","0.449589689871953","0.449589689871953"," ","","","",""
""
"d). Catch(2012) = 2011 catch +20%"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","3899157.3872628","3899157.3872628","3899157.3872628","0.00497123785893256","0.00673531944864505","0.00673531944864505"," ","2011","2904689.83742477","0.312184402626927","934567"
"1","3342307.19057031","3339393.61257811","3333507.84280078","0.0179718423915589","0.0243492874456508","0.0243492874456508"," ","2012","2553954.70508775","0.422965413895579","1121480.4"
"2","2937399.57088838","2825511.75877637","2805102.13461682","0.054318917475594","0.0735943987563032","0.0735943987563032"," ","2013","2189870.01135918","0.422965413895579","935164.219343947"
"3","2623823.97224358","2394575.02559180","2259390.53691661","0.129281855927553","0.175158506451499","0.175158506451499"," ","","","",""
"4","2041355.43904404","1984468.12107829","1729871.73877533","0.210696874707697","0.285464264285314","0.285464264285314"," ","","","",""
"5","2564888.78377563","1423213.21596259","1283879.89974663","0.275107997642054","0.372732164417936","0.372732164417936"," ","","","",""
"6","1744886.10793015","1676665.70333024","843820.891303586","0.342981617944291","0.464691255462067","0.464691255462067"," ","","","",""
"7","696902.462641153","1065780.79129990","906753.959102114","0.359825467813115","0.48751227365328","0.48751227365328"," ","","","",""
"8","333463.137158859","418559.893478337","563377.925183726","0.37231005502748","0.504427111659296","0.504427111659296"," ","","","",""
"9","414946.437650187","197793.245596132","217542.206086106","0.393203513805348","0.532734773301995","0.532734773301995"," ","","","",""
"10","147652.321580531","241035.911362443","99931.7544650721","0.457616518417659","0.620005222840316","0.620005222840316"," ","","","",""
"11","34739.4126067767","80418.4649350538","111602.194011158","0.412661996463080","0.559098246626904","0.559098246626904"," ","","","",""
"12","46035.7391876411","46016.838988495","62217.2628662146","0.412661996463080","0.559098246626904","0.559098246626904"," ","","","",""
""
"e). Fbar(2012) = 0.20"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","3899157.3872628","3899157.3872628","3899157.3872628","0.00497123785893256","0.00318480860485102","0.00318480860485102"," ","2011","2904689.83742477","0.312184402626927","934567"
"1","3342307.19057031","3339393.61257811","3345364.5347456","0.0179718423915589","0.0115136068556481","0.0115136068556481"," ","2012","2763317.05070878","0.2","584671.830325172"
"2","2937399.57088838","2825511.75877637","2841339.59837117","0.054318917475594","0.034799251351777","0.034799251351777"," ","2013","2747830.80422371","0.2","582108.680750742"
"3","2623823.97224358","2394575.02559180","2348766.39114711","0.129281855927553","0.0828240327445505","0.0828240327445505"," ","","","",""
"4","2041355.43904404","1984468.12107829","1897204.98017675","0.210696874707697","0.13498232002288","0.13498232002288"," ","","","",""
"5","2564888.78377563","1423213.21596259","1492374.69921057","0.275107997642054","0.176247112493201","0.176247112493201"," ","","","",""
"6","1744886.10793015","1676665.70333024","1027028.85908109","0.342981617944291","0.219730143503785","0.219730143503785"," ","","","",""
"7","696902.462641153","1065780.79129990","1158443.13352091","0.359825467813115","0.230521105337297","0.230521105337297"," ","","","",""
"8","333463.137158859","418559.893478337","728466.647066958","0.37231005502748","0.238519318642838","0.238519318642838"," ","","","",""
"9","414946.437650187","197793.245596132","283808.772667283","0.393203513805348","0.251904650262263","0.251904650262263"," ","","","",""
"10","147652.321580531","241035.911362443","132332.490198113","0.457616518417659","0.293170648223915","0.293170648223915"," ","","","",""
"11","34739.4126067767","80418.4649350538","154744.486727708","0.412661996463080","0.264370668739801","0.264370668739801"," ","","","",""
"12","46035.7391876411","46016.838988495","83542.8836917336","0.412661996463080","0.264370668739801","0.264370668739801"," ","","","",""
""
"f). Fbar(2012) = 0.21"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","3899157.3872628","3899157.3872628","3899157.3872628","0.00497123785893256","0.00334404903509357","0.00334404903509357"," ","2011","2904689.83742477","0.312184402626927","934567"
"1","3342307.19057031","3339393.61257811","3344831.85987059","0.0179718423915589","0.0120892871984305","0.0120892871984305"," ","2012","2753501.86010061","0.21","611155.311212733"
"2","2937399.57088838","2825511.75877637","2839704.36574802","0.054318917475594","0.0365392139193659","0.0365392139193659"," ","2013","2719055.78611716","0.21","603487.251138184"
"3","2623823.97224358","2394575.02559180","2344683.17889489","0.129281855927553","0.086965234381778","0.086965234381778"," ","","","",""
"4","2041355.43904404","1984468.12107829","1889364.5174802","0.210696874707697","0.141731436024024","0.141731436024024"," ","","","",""
"5","2564888.78377563","1423213.21596259","1482336.40216817","0.275107997642054","0.185059468117861","0.185059468117861"," ","","","",""
"6","1744886.10793015","1676665.70333024","1018018.07695924","0.342981617944291","0.230716650678974","0.230716650678974"," ","","","",""
"7","696902.462641153","1065780.79129990","1145785.54836498","0.359825467813115","0.242047160604161","0.242047160604161"," ","","","",""
"8","333463.137158859","418559.893478337","720118.503237046","0.37231005502748","0.250445284574980","0.250445284574980"," ","","","",""
"9","414946.437650187","197793.245596132","280444.181789645","0.393203513805348","0.264499882775376","0.264499882775376"," ","","","",""
"10","147652.321580531","241035.911362443","130676.184389702","0.457616518417659","0.307829180635110","0.307829180635110"," ","","","",""
"11","34739.4126067767","80418.4649350538","152492.703889799","0.412661996463080","0.277589202176791","0.277589202176791"," ","","","",""
"12","46035.7391876411","46016.838988495","82445.83594524","0.412661996463080","0.277589202176791","0.277589202176791"," ","","","",""
""
"g). Fbar(2012) = 0.22 (Fmsy)"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","3899157.3872628","3899157.3872628","3899157.3872628","0.00497123785893256","0.00350328946533612","0.00350328946533612"," ","2011","2904689.83742477","0.312184402626927","934567"
"1","3342307.19057031","3339393.61257811","3344299.26981219","0.0179718423915589","0.0126649675412129","0.0126649675412129"," ","2012","2743727.84550257","0.22","637396.549119275"
"2","2937399.57088838","2825511.75877637","2838070.07422523","0.054318917475594","0.0382791764869547","0.0382791764869547"," ","2013","2690669.44205073","0.22","624255.226705468"
"3","2623823.97224358","2394575.02559180","2340607.06510183","0.129281855927553","0.0911064360190056","0.0911064360190056"," ","","","",""
"4","2041355.43904404","1984468.12107829","1881556.4565831","0.210696874707697","0.148480552025168","0.148480552025168"," ","","","",""
"5","2564888.78377563","1423213.21596259","1472365.62664538","0.275107997642054","0.193871823742521","0.193871823742521"," ","","","",""
"6","1744886.10793015","1676665.70333024","1009086.35220149","0.342981617944291","0.241703157854164","0.241703157854164"," ","","","",""
"7","696902.462641153","1065780.79129990","1133266.26474267","0.359825467813115","0.253573215871026","0.253573215871026"," ","","","",""
"8","333463.137158859","418559.893478337","711866.028173419","0.37231005502748","0.262371250507122","0.262371250507122"," ","","","",""
"9","414946.437650187","197793.245596132","277119.478585907","0.393203513805348","0.277095115288489","0.277095115288489"," ","","","",""
"10","147652.321580531","241035.911362443","129040.609309828","0.457616518417659","0.322487713046306","0.322487713046306"," ","","","",""
"11","34739.4126067767","80418.4649350538","150273.688138177","0.412661996463080","0.290807735613781","0.290807735613781"," ","","","",""
"12","46035.7391876411","46016.838988495","81363.1941386052","0.412661996463080","0.290807735613781","0.290807735613781"," ","","","",""
""
"h). Fbar(2012) = Fpa (=EC/ICES transition F)"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","3899157.3872628","3899157.3872628","3899157.3872628","0.00497123785893256","0.00366252989557867","0.00350328946533612"," ","2011","2904689.83742477","0.312184402626927","934567"
"1","3342307.19057031","3339393.61257811","3343766.76455691","0.0179718423915589","0.0132406478839953","0.0126649675412129"," ","2012","2733994.81995812","0.23","663398.0579291"
"2","2937399.57088838","2825511.75877637","2836436.72326119","0.054318917475594","0.0400191390545435","0.0382791764869547"," ","2013","2672166.13431240","0.22","619175.850835137"
"3","2623823.97224358","2394575.02559180","2336538.03742761","0.129281855927553","0.095247637656233","0.0911064360190056"," ","","","",""
"4","2041355.43904404","1984468.12107829","1873780.66358053","0.210696874707697","0.155229668026312","0.148480552025168"," ","","","",""
"5","2564888.78377563","1423213.21596259","1462461.91846599","0.275107997642054","0.202684179367181","0.193871823742521"," ","","","",""
"6","1744886.10793015","1676665.70333024","1000232.99118693","0.342981617944291","0.252689665029353","0.241703157854164"," ","","","",""
"7","696902.462641153","1065780.79129990","1120883.77151944","0.359825467813115","0.265099271137891","0.253573215871026"," ","","","",""
"8","333463.137158859","418559.893478337","703708.12552304","0.37231005502748","0.274297216439263","0.262371250507122"," ","","","",""
"9","414946.437650187","197793.245596132","273834.190182370","0.393203513805348","0.289690347801603","0.277095115288489"," ","","","",""
"10","147652.321580531","241035.911362443","127425.505487624","0.457616518417659","0.337146245457502","0.322487713046306"," ","","","",""
"11","34739.4126067767","80418.4649350538","148086.962658682","0.412661996463080","0.304026269050771","0.290807735613781"," ","","","",""
"12","46035.7391876411","46016.838988495","80294.7690994764","0.412661996463080","0.304026269050771","0.290807735613781"," ","","","",""
""
