NEA Mackerel proportion of F before spawning - harvest.spwn (units : NA )
1	7	
1972	2007	
0	12	
1 
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421 0.421
