"Rationale","Fbar (2011)","Catch (2011)","SSB (2011)","TSB (2011)","Fbar (2012)","Catch (2012)","SSB (2012)","TSB (2012)","SSB (2013)","TSB (2013)"
Fmult(2012) = 0.000,0.312184402626927,934567,2904689.83742477,3938299.03730818,0,0,2968563.80089106,3631645.26573099,3414767.93720382,4107935.49520038
Fmult(2012) = 0.100,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.0312184402626927,98606.940211291,2935373.58752752,3631645.26573099,3298114.11405039,4024428.02903176
Fmult(2012) = 0.200,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.0624368805253855,194365.435247023,2902618.76506797,3631645.26573099,3186428.38686407,3943387.90925604
Fmult(2012) = 0.300,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.0936553207880782,287367.738456938,2870293.16967328,3631645.26573099,3079479.83224558,3864734.23151995
Fmult(2012) = 0.400,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.124873761050771,377702.941602583,2838390.72877865,3631645.26573099,2977048.76834521,3788388.88438537
Fmult(2012) = 0.500,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.156092201313464,465457.087218765,2806905.45969905,3631645.26573099,2878926.19103511,3714276.44961660
Fmult(2012) = 0.600,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.187310641576156,550713.276871906,2775831.4682565,3631645.26573099,2784913.23898738,3642324.10611957
Fmult(2012) = 0.700,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.218529081838849,633551.775468514,2745162.94742877,3631645.26573099,2694820.68614982,3572461.5373965
Fmult(2012) = 0.800,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.249747522101542,714050.111761132,2714894.17601928,3631645.26573099,2608468.46019101,3504620.84238447
Fmult(2012) = 0.900,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.280965962364235,792283.175193564,2685019.51734781,3631645.26573099,2525685.18556195,3438736.44955156
Fmult(2012) = 1.000,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.312184402626927,868323.309221719,2655533.41796162,3631645.26573099,2446307.74989318,3374745.03412893
Fmult(2012) = 1.100,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.34340284288962,942240.401241303,2626430.40636683,3631645.26573099,2370180.89251367,3312585.43836181
Fmult(2012) = 1.200,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.374621283152313,1014101.96924855,2597705.09177949,3631645.26573099,2297156.81394241,3252198.59466699
Fmult(2012) = 1.300,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.405839723415006,1083973.24535546,2569352.16289625,3631645.26573099,2227094.80526364,3193527.45158838
Fmult(2012) = 1.400,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.437058163677698,1151917.25627629,2541366.38668422,3631645.26573099,2159860.89635445,3136516.90244667
Fmult(2012) = 1.500,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.468276603940391,1217994.90089777,2513742.60718967,3631645.26573099,2095327.52198789,3081113.71658275
Fmult(2012) = 1.600,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.499495044203084,1282265.02504120,2486475.74436541,3631645.26573099,2033373.20488573,3027266.47309867
Fmult(2012) = 1.700,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.530713484465776,1344784.49352037,2459560.79291634,3631645.26573099,1973882.25484421,2974925.49700309
Fmult(2012) = 1.800,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.561931924728469,1405608.25959555,2432992.82116312,3631645.26573099,1916744.48310181,2924042.79767243
Fmult(2012) = 1.900,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.593150364991162,1464789.43191978,2406766.96992352,3631645.26573099,1861854.93116199,2874572.00954138
Fmult(2012) = 2.000,0.312184402626927,934567,2904689.83742477,3938299.03730818,0.624368805253855,1522379.33907025,2380878.45141111,3631645.26573099,1809113.61332498,2826468.33494057
