"","name","value","std.dev"
"1","logFpar",0.68497,0.22157
"2","logFpar",0.94414,0.1719
"3","logFpar",0.58851,0.17791
"4","logFpar",0.47041,0.18162
"5","logSdLogFsta",-2.0755,0.65801
"6","logSdLogFsta",-2.2213,0.4029
"7","logSdLogFsta",-2.1902,0.50896
"8","logSdLogFsta",-0.66237,0.23198
"9","logSdLogN",-1.35,0.206
"10","logSdLogObs",-0.18526,0.14415
"11","logSdLogObs",-0.92352,0.12824
"12","logSdLogObs",-0.83003,0.10837
"13","logSdLogObs",-0.052027,0.16106
"14","logSdLogObs",-0.4764,0.08001
"15","logSdLogObs",-0.25813,0.09612
"16","U",12.07,0.35829
"17","U",10.946,0.30837
"18","U",10.477,0.33639
"19","U",10.208,0.3062
"20","U",8.5046,0.35485
"21","U",8.2077,0.40036
"22","U",7.4595,0.54752
"23","U",7.0382,0.59016
"24","U",-3.6243,0.33088
"25","U",-1.1629,0.34308
"26","U",-1.1608,0.25337
"27","U",-1.1292,0.24443
"28","U",-1.299,0.25746
"29","U",-1.2643,0.30441
"30","U",-1.3869,0.56615
"31","U",12.19,0.35781
"32","U",11.197,0.27906
"33","U",9.9545,0.26993
"34","U",9.4376,0.27803
"35","U",9.4289,0.29684
"36","U",7.6819,0.35624
"37","U",7.5605,0.44532
"38","U",7.3647,0.56536
"39","U",-3.6384,0.31104
"40","U",-1.245,0.26266
"41","U",-1.2376,0.21592
"42","U",-1.1541,0.22408
"43","U",-1.3463,0.24274
"44","U",-1.2759,0.29226
"45","U",-1.5911,0.52039
"46","U",12.265,0.35874
"47","U",11.342,0.28137
"48","U",10.457,0.26714
"49","U",9.1585,0.26211
"50","U",8.4316,0.30699
"51","U",8.7573,0.32011
"52","U",6.972,0.43328
"53","U",7.5912,0.49937
"54","U",-3.6606,0.29652
"55","U",-1.3347,0.20936
"56","U",-1.3,0.1961
"57","U",-1.1959,0.20465
"58","U",-1.3943,0.23887
"59","U",-1.2749,0.27577
"60","U",-1.7104,0.50052
"61","U",12.035,0.3737
"62","U",11.422,0.28371
"63","U",10.673,0.27094
"64","U",9.8525,0.26243
"65","U",8.3629,0.28688
"66","U",7.8557,0.32153
"67","U",8.1374,0.38513
"68","U",7.2835,0.52947
"69","U",-3.6901,0.29025
"70","U",-1.4241,0.20287
"71","U",-1.3471,0.1884
"72","U",-1.2469,0.19236
"73","U",-1.3895,0.22612
"74","U",-1.2645,0.2578
"75","U",-2.2736,0.49659
"76","U",11.739,0.35823
"77","U",11.3,0.28892
"78","U",10.897,0.25575
"79","U",10.206,0.25893
"80","U",9.4068,0.26294
"81","U",7.8549,0.30185
"82","U",7.2944,0.38268
"83","U",8.1066,0.40479
"84","U",-3.7013,0.28496
"85","U",-1.4816,0.22099
"86","U",-1.3608,0.1823
"87","U",-1.2652,0.18444
"88","U",-1.349,0.20646
"89","U",-1.2452,0.23887
"90","U",-1.6809,0.40768
"91","U",12.04,0.35488
"92","U",10.986,0.27571
"93","U",10.979,0.25227
"94","U",10.537,0.24747
"95","U",9.9043,0.26255
"96","U",9.0369,0.28165
"97","U",7.4483,0.35459
"98","U",8.0245,0.39315
"99","U",-3.6986,0.27742
"100","U",-1.4798,0.21063
"101","U",-1.3396,0.17419
"102","U",-1.2423,0.17643
"103","U",-1.2949,0.19151
"104","U",-1.1934,0.2143
"105","U",-1.1046,0.37516
"106","U",12.249,0.3541
"107","U",11.244,0.27547
"108","U",10.437,0.25058
"109","U",10.474,0.24715
"110","U",9.9525,0.25503
"111","U",9.4348,0.27584
"112","U",8.5104,0.3261
"113","U",7.9176,0.40666
"114","U",-3.6921,0.2703
"115","U",-1.4747,0.20309
"116","U",-1.3405,0.17179
"117","U",-1.2495,0.17342
"118","U",-1.2652,0.18585
"119","U",-1.1556,0.20223
"120","U",-0.9274,0.35623
"121","U",12.463,0.36008
"122","U",11.414,0.27411
"123","U",10.587,0.25059
"124","U",9.8332,0.24583
"125","U",9.9098,0.2561
"126","U",9.389,0.26941
"127","U",8.8973,0.31462
"128","U",8.3675,0.38761
"129","U",-3.691,0.26659
"130","U",-1.4859,0.2089
"131","U",-1.3484,0.17093
"132","U",-1.2619,0.17221
"133","U",-1.2345,0.18263
