age,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778549163,0.776129843,0.764094332,0.700786511,0.587305977,0.653557637,0.743981431,0.827204141,0.808868076,0.75953375,0.865402432,0.781935368,0.775917086,0.905143738,0.786472778,0.899244474,0.84561604,0.866485176,0.77706829,0.70909667,0.738765727,0.852918236,0.772325496,0.869274187,0.851025542,0.795939407,0.80639504,0.779977372,0.900613701,0.978099348,0.895530707,0.935127718,0.961796059,0.983284507,0.963855167,0.833397263,0.873863206,1.05886798,1.008209717,0.843893973,0.818309427,0.919386866,0.699126586
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.614343345,0.634514301,0.682663233,0.74994506,0.760202398,0.648243803,0.692905622,0.939128424,0.726671995,0.668599556,0.637941272,0.708539674,0.690158043,0.6741828,0.732792152,0.639952307,0.719017227,0.621064812,0.593594769,0.597634204,0.601549444,0.573656219,0.643267962,0.563947752,0.61778193,0.662143497,0.556392111,0.692590995,0.683974753,0.780840809,0.798716461,0.786445098,0.695085355,0.704773467,0.638678045,0.564819531,0.480823158,0.623729365,0.724909924,0.660350378,0.636685984,0.562734898,0.729822172
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378942832,0.371364882,0.411834308,0.427916704,0.412445149,0.365812294,0.329919064,0.468725279,0.43137531,0.412592626,0.330346142,0.354202348,0.380000058,0.331109694,0.367509555,0.309120207,0.313470651,0.319439849,0.315683964,0.348465995,0.325355314,0.366444187,0.37965393,0.373396757,0.399162366,0.362503142,0.282608375,0.371982354,0.416813505,0.408455604,0.452697663,0.472983376,0.401824389,0.427459852,0.393181305,0.330789967,0.318234449,0.380415737,0.382941682,0.401407663,0.392707821,0.366660866,0.407423965
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.382498567,0.341984202,0.356511072,0.397507608,0.391021061,0.376621125,0.316821917,0.399262409,0.413209416,0.406356225,0.30814023,0.334037244,0.268189599,0.279593181,0.306038455,0.270722664,0.295475688,0.280078892,0.312523822,0.316123904,0.27699691,0.29695249,0.312188126,0.317773669,0.355945502,0.279279121,0.280032209,0.311496408,0.327755918,0.278738597,0.420671974,0.400144005,0.383431567,0.411722779,0.394605276,0.341519472,0.313534583,0.386007906,0.357532455,0.348462881,0.374605898,0.357837073,0.395390753
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.382946964,0.32773561,0.325762527,0.330297974,0.354904355,0.346968355,0.309643409,0.372313195,0.371456135,0.351872963,0.296922226,0.307301439,0.262908297,0.246029093,0.250451864,0.239183027,0.275722872,0.26520605,0.267967045,0.276903775,0.265116515,0.303873751,0.305969016,0.296420828,0.317094678,0.280299368,0.243646626,0.240356423,0.289584046,0.26931283,0.349033728,0.332484152,0.357862741,0.359526858,0.375089893,0.346915047,0.323022745,0.355632484,0.365868578,0.359133178,0.354413977,0.353895223,0.403455105
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35624963,0.322850889,0.306153769,0.308621579,0.325350925,0.326450857,0.299336051,0.34718786,0.319004787,0.33113992,0.27450822,0.277200069,0.255928439,0.247239739,0.255548614,0.229662957,0.262745313,0.247824465,0.250429485,0.242391161,0.240548297,0.280638199,0.28779845,0.249741732,0.29702248,0.268589333,0.244344398,0.224177371,0.253720977,0.246173386,0.33173126,0.322828231,0.338731784,0.335525855,0.34128192,0.320982862,0.312413219,0.350095164,0.346270594,0.336221474,0.356155764,0.342306843,0.380497661
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364404106,0.317350909,0.306932541,0.293190353,0.327962811,0.319373943,0.286851807,0.321327406,0.324434403,0.299487333,0.274044269,0.265277492,0.250182046,0.243655082,0.24758845,0.236405397,0.250771784,0.242062051,0.237417783,0.226891328,0.23074547,0.280392823,0.244632992,0.244736834,0.256979441,0.248299408,0.231105769,0.22859759,0.252459783,0.24117451,0.329571657,0.289865649,0.331238136,0.319636901,0.320658073,0.309869146,0.313578853,0.357578853,0.328506856,0.347740642,0.34452177,0.35118857,0.382068843
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338011534,0.297059632,0.287301084,0.274975597,0.307031338,0.288746789,0.263746024,0.296215066,0.280500001,0.278629254,0.249857999,0.245751861,0.229867897,0.2227936,0.228729041,0.207021391,0.2298476,0.22513226,0.212723265,0.209343289,0.221426099,0.253394115,0.23475273,0.217060608,0.226476521,0.226337835,0.217868582,0.219364967,0.242570489,0.220570005,0.286801784,0.25590265,0.288305058,0.285995691,0.280656863,0.284811092,0.293833139,0.327359055,0.305904166,0.3138989,0.33060719,0.333220379,0.349585241
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345277718,0.300623641,0.29385109,0.278289152,0.314031163,0.295329755,0.269727041,0.302968297,0.286894953,0.277339687,0.255480003,0.248438107,0.235108518,0.220347962,0.228230489,0.211741148,0.235087758,0.237637122,0.217573016,0.21097427,0.213667609,0.218188873,0.226773755,0.21881885,0.228809224,0.230955553,0.203414356,0.22107086,0.258888268,0.232901269,0.293340407,0.250895229,0.280854863,0.279624884,0.282955028,0.28498445,0.29130679,0.313087485,0.292546172,0.302207192,0.320605806,0.331379333,0.347760533
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
