"Fbar","Yield","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners","Landings"
"Ages 3-6","Tonnes","Tonnes","Number","","","Number","Tonnes"
"0","0","5512492","9456215","0","0.583","25531097","0"
"0.01","56199","4955994","9352212","0.006","0.53","23070227","56199"
"0.02","101340","4490971","9247887","0.011","0.486","21008149","101340"
"0.03","137978","4096835","9143311","0.0151","0.448","19255356","137978"
"0.04","167955","3758724","9038549","0.0186","0.416","17747232","167955"
"0.051","192630","3465643","8933662","0.0216","0.388","16435962","192630"
"0.061","213027","3209285","8828706","0.0241","0.364","15285410","213027"
"0.071","229929","2983258","8723730","0.0264","0.342","14267757","229929"
"0.081","243949","2782563","8618781","0.0283","0.323","13361241","243949"
"0.091","255568","2603234","8513900","0.03","0.306","12548593","255568"
"0.101","265171","2442087","8409125","0.0315","0.29","11815939","265171"
"0.111","273071","2296535","8304490","0.0329","0.277","11152002","273071"
"0.121","279520","2164456","8200025","0.0341","0.264","10547522","279520"
"0.131","284728","2044091","8095757","0.0352","0.252","9994828","284728"
"0.141","288867","1933973","7991709","0.0361","0.242","9487509","288867"
"0.152","292082","1832868","7887903","0.037","0.232","9020167","292082"
"0.162","294495","1739727","7784355","0.0378","0.223","8588222","294495"
"0.172","296208","1653660","7681083","0.0386","0.215","8187769","296208"
"0.182","297307","1573900","7578098","0.0392","0.208","7815453","297307"
"0.192","297868","1499788","7475413","0.0398","0.201","7468376","297868"
"0.202","297954","1430750","7373036","0.0404","0.194","7144025","297954"
"0.212","297620","1366289","7270975","0.0409","0.188","6840209","297620"
"0.222","296913","1305968","7169235","0.0414","0.182","6555007","296913"
"0.232","295875","1249403","7067821","0.0419","0.177","6286730","295875"
"0.242","294542","1196257","6966735","0.0423","0.172","6033887","294542"
"0.253","292944","1146230","6865980","0.0427","0.167","5795157","292944"
"0.263","291110","1099057","6765555","0.043","0.162","5569363","291110"
"0.273","289064","1054500","6665461","0.0434","0.158","5355458","289064"
"0.283","286826","1012348","6565696","0.0437","0.154","5152501","286826"
"0.293","284416","972411","6466257","0.044","0.15","4959651","284416"
"0.303","281849","934519","6367142","0.0443","0.147","4776148","281849"
"0.313","279142","898518","6268348","0.0445","0.143","4601307","279142"
"0.323","276306","864268","6169870","0.0448","0.14","4434510","276306"
"0.333","273354","831645","6071704","0.045","0.137","4275193","273354"
"0.343","270295","800533","5973845","0.0452","0.134","4122847","270295"
"0.354","267140","770829","5876287","0.0455","0.131","3977005","267140"
"0.364","263896","742438","5779025","0.0457","0.128","3837243","263896"
"0.374","260571","715274","5682052","0.0459","0.126","3703172","260571"
"0.384","257172","689258","5585363","0.046","0.123","3574436","257172"
"0.394","253704","664317","5488951","0.0462","0.121","3450707","253704"
"0.404","250173","640384","5392809","0.0464","0.119","3331686","250173"
"0.414","246584","617398","5296931","0.0466","0.117","3217095","246584"
"0.424","242942","595303","5201309","0.0467","0.114","3106678","242942"
"0.434","239249","574047","5105938","0.0469","0.112","3000200","239249"
"0.444","235511","553581","5010810","0.047","0.11","2897440","235511"
"0.455","231729","533862","4915917","0.0471","0.109","2798197","231729"
"0.465","227908","514847","4821254","0.0473","0.107","2702283","227908"
"0.475","224050","496498","4726813","0.0474","0.105","2609523","224050"
"0.485","220157","478781","4632587","0.0475","0.103","2519753","220157"
"0.495","216231","461661","4538570","0.0476","0.102","2432823","216231"
"0.505","212275","445108","4444754","0.0478","0.1","2348590","212275"
"0.515","208290","429094","4351132","0.0479","0.099","2266924","208290"
"0.525","204278","413591","4257698","0.048","0.097","2187700","204278"
"0.535","200240","398574","4164446","0.0481","0.096","2110802","200240"
"0.545","196179","384020","4071368","0.0482","0.094","2036124","196179"
"0.556","192095","369907","3978458","0.0483","0.093","1963561","192095"
"0.566","187989","356214","3885709","0.0484","0.092","1893021","187989"
"0.576","183863","342922","3793116","0.0485","0.09","1824412","183863"
"0.586","179718","330013","3700673","0.0486","0.089","1757651","179718"
"0.596","175553","317469","3608372","0.0487","0.088","1692657","175553"
"0.606","171371","305275","3516208","0.0487","0.087","1629357","171371"
"0.616","167172","293416","3424176","0.0488","0.086","1567679","167172"
"0.626","162957","281877","3332269","0.0489","0.085","1507558","162957"
"0.636","158726","270645","3240481","0.049","0.084","1448929","158726"
"0.646","154480","259707","3148807","0.0491","0.082","1391734","154480"
"0.657","150219","249051","3057242","0.0491","0.081","1335916","150219"
"0.667","145945","238666","2965781","0.0492","0.08","1281422","145945"
"0.677","141657","228540","2874417","0.0493","0.08","1228202","141657"
"0.687","137355","218665","2783146","0.0494","0.079","1176206","137355"
"0.697","133041","209029","2691962","0.0494","0.078","1125391","133041"
"0.707","128715","199625","2600862","0.0495","0.077","1075712","128715"
"0.717","124376","190443","2509839","0.0496","0.076","1027128","124376"
"0.727","120026","181475","2418889","0.0496","0.075","979601","120026"
"0.737","115664","172713","2328008","0.0497","0.074","933094","115664"
"0.747","111291","164151","2237191","0.0497","0.073","887570","111291"
"0.758","106908","155779","2146433","0.0498","0.073","842997","106908"
"0.768","102513","147593","2055731","0.0499","0.072","799341","102513"
"0.778","98108","139585","1965079","0.0499","0.071","756573","98108"
"0.788","93692","131750","1874474","0.05","0.07","714664","93692"
"0.798","89266","124081","1783912","0.05","0.07","673584","89266"
"0.808","84830","116574","1693388","0.0501","0.069","633308","84830"
"0.818","80385","109222","1602899","0.0501","0.068","593810","80385"
"0.828","75929","102020","1512440","0.0502","0.067","555066","75929"
"0.838","71464","94964","1422009","0.0503","0.067","517052","71464"
"0.848","66989","88049","1331600","0.0503","0.066","479746","66989"
"0.859","62505","81271","1241212","0.0504","0.065","443126","62505"
"0.869","58012","74625","1150840","0.0504","0.065","407172","58012"
"0.879","53509","68107","1060480","0.0505","0.064","371865","53509"
"0.889","48997","61713","970130","0.0505","0.064","337184","48997"
"0.899","44476","55440","879785","0.0506","0.063","303113","44476"
"0.909","39946","49284","789444","0.0506","0.062","269634","39946"
"0.919","35407","43242","699102","0.0506","0.062","236729","35407"
"0.929","30859","37310","608756","0.0507","0.061","204384","30859"
"0.939","26302","31484","518403","0.0507","0.061","172582","26302"
"0.949","21736","25763","428041","0.0508","0.06","141309","21736"
"0.96","17162","20143","337666","0.0508","0.06","110550","17162"
"0.97","12578","14621","247276","0.0509","0.059","80291","12578"
"0.98","7986","9194","156867","0.0509","0.059","50520","7986"
"0.99","3385","3860","66437","0.051","0.058","21223","3385"
"1","-1225","-1383","-24017","0.051","0.058","-7611","-1225"
