"harvest","yield","rec","ssb","biomass","yield/R","SSB/R"
"f0.1",0.178757414387807,163574.336956892,4170745.18157395,829698.46778813,1016726.93024574,0.0392194511617617,0.198932908069684
"fmed",NA,NA,NA,NA,NA,NA,NA
"spr.35",0.175020697663846,165918.565789328,4257831.32577046,858850.589451468,1049823.81150322,0.0389678578353041,0.201710806215664
"msy",0.108471543752033,189645.103482166,5809605.1609894,1560030.22514787,1821575.97336460,0.0326433721788192,0.268526032650761
"crash",0.358930125171309,1.22109766822624e-06,2.66275509367506e-05,3.1918752938509e-06,4.37434077695146e-06,0.0458584295313812,0.119871155309502
"3y_aver",0.218461109369926,131560.150626325,520214.264158029,75525.7873653816,356604.788726513,0.0416443150284711,0.171497705078609
