age,AQ1,AQ2,AQ3,AQ4,CQ1,CQ2,CQ3,CQ4,DQ1,DQ2,DQ3,DQ4,FQ1,FQ2,FQ3,FQ4
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,0.0,0.0,7.1,8.8,0.0,0.0,11.7,12.3
1,66.3,62.5,67.8,104.0,28.2,0.0,73.2,62.6,15.3,15.9,43.1,60.0,13.6,16.1,38.8,39.2
2,128.6,129.5,132.3,149.0,77.5,75.7,110.1,104.3,39.9,37.0,54.3,0.0,49.0,52.2,64.5,62.8
3,153.5,151.2,157.3,187.0,119.5,117.2,130.7,147.6,75.0,0.0,114.0,0.0,85.4,89.7,95.6,89.1
4,195.0,208.1,209.6,186.0,156.0,149.4,159.2,181.2,41.0,0.0,0.0,0.0,118.1,132.0,110.6,95.9
5,187.9,182.6,222.9,207.0,191.6,187.4,192.7,209.2,0.0,111.0,0.0,0.0,155.5,163.5,132.4,111.8
6,210.1,208.9,206.5,225.0,209.0,221.2,196.3,232.5,0.0,0.0,0.0,0.0,175.1,171.1,158.8,126.4
7,206.8,227.7,233.1,209.0,219.0,197.2,194.4,235.3,0.0,0.0,0.0,0.0,198.4,184.4,202.4,170.7
8,233.4,242.3,233.8,225.3,214.0,204.4,221.0,242.7,0.0,0.0,0.0,0.0,201.4,189.8,176.8,156.5
