"Fbar","Yield","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners","Landings"
"Ages NA-NA","Tonnes","Tonnes","Number","","","Number","Tonnes"
"0","0","4617598","34562843","0","0.134","23072240","0"
"0.01","55092","4365676","34562843","0.0016","0.126","22006530","55092"
"0.02","102997","4143537","34562843","0.003","0.12","21061031","102997"
"0.03","145014","3945904","34562843","0.0042","0.114","20214623","145014"
"0.04","182147","3768689","34562843","0.0053","0.109","19450942","182147"
"0.051","215187","3608679","34562843","0.0062","0.104","18757113","215187"
"0.061","244761","3463311","34562843","0.0071","0.1","18122862","244761"
"0.071","271375","3330514","34562843","0.0079","0.096","17539887","271375"
"0.081","295440","3208599","34562843","0.0085","0.093","17001405","295440"
"0.091","317297","3096172","34562843","0.0092","0.09","16501818","317297"
"0.101","337226","2992072","34562843","0.0098","0.087","16036463","337226"
"0.111","355463","2895326","34562843","0.0103","0.084","15601420","355463"
"0.121","372206","2805111","34562843","0.0108","0.081","15193375","372206"
"0.131","387625","2720726","34562843","0.0112","0.079","14809498","387625"
"0.141","401862","2641568","34562843","0.0116","0.076","14447364","401862"
"0.152","415042","2567120","34562843","0.012","0.074","14104876","415042"
"0.162","427272","2496932","34562843","0.0124","0.072","13780216","427272"
"0.172","438644","2430611","34562843","0.0127","0.07","13471794","438644"
"0.182","449240","2367815","34562843","0.013","0.069","13178218","449240"
"0.192","459131","2308241","34562843","0.0133","0.067","12898258","459131"
"0.202","468379","2251623","34562843","0.0136","0.065","12630828","468379"
"0.212","477039","2197722","34562843","0.0138","0.064","12374962","477039"
"0.222","485161","2146328","34562843","0.014","0.062","12129796","485161"
"0.232","492788","2097252","34562843","0.0143","0.061","11894561","492788"
"0.242","499959","2050324","34562843","0.0145","0.059","11668561","499959"
"0.253","506709","2005393","34562843","0.0147","0.058","11451171","506709"
"0.263","513070","1962321","34562843","0.0148","0.057","11241826","513070"
"0.273","519069","1920983","34562843","0.015","0.056","11040014","519069"
"0.283","524733","1881267","34562843","0.0152","0.054","10845268","524733"
"0.293","530084","1843069","34562843","0.0153","0.053","10657162","530084"
"0.303","535144","1806296","34562843","0.0155","0.052","10475308","535144"
"0.313","539931","1770862","34562843","0.0156","0.051","10299351","539931"
"0.323","544464","1736688","34562843","0.0158","0.05","10128962","544464"
"0.333","548757","1703703","34562843","0.0159","0.049","9963842","548757"
"0.343","552827","1671839","34562843","0.016","0.048","9803711","552827"
"0.354","556685","1641036","34562843","0.0161","0.047","9648314","556685"
"0.364","560346","1611237","34562843","0.0162","0.047","9497414","560346"
"0.374","563819","1582390","34562843","0.0163","0.046","9350789","563819"
"0.384","567116","1554445","34562843","0.0164","0.045","9208235","567116"
"0.394","570246","1527358","34562843","0.0165","0.044","9069562","570246"
"0.404","573218","1501088","34562843","0.0166","0.043","8934591","573218"
"0.414","576041","1475594","34562843","0.0167","0.043","8803157","576041"
"0.424","578723","1450840","34562843","0.0167","0.042","8675105","578723"
"0.434","581270","1426793","34562843","0.0168","0.041","8550290","581270"
"0.444","583689","1403420","34562843","0.0169","0.041","8428574","583689"
"0.455","585988","1380691","34562843","0.017","0.04","8309831","585988"
"0.465","588171","1358580","34562843","0.017","0.039","8193940","588171"
"0.475","590245","1337058","34562843","0.0171","0.039","8080787","590245"
"0.485","592213","1316102","34562843","0.0171","0.038","7970267","592213"
"0.495","594083","1295688","34562843","0.0172","0.037","7862278","594083"
"0.505","595856","1275794","34562843","0.0172","0.037","7756725","595856"
"0.515","597539","1256400","34562843","0.0173","0.036","7653519","597539"
"0.525","599135","1237485","34562843","0.0173","0.036","7552574","599135"
"0.535","600648","1219033","34562843","0.0174","0.035","7453810","600648"
"0.545","602081","1201024","34562843","0.0174","0.035","7357151","602081"
"0.556","603439","1183443","34562843","0.0175","0.034","7262523","603439"
"0.566","604723","1166273","34562843","0.0175","0.034","7169857","604723"
"0.576","605937","1149501","34562843","0.0175","0.033","7079089","605937"
"0.586","607085","1133111","34562843","0.0176","0.033","6990156","607085"
"0.596","608168","1117091","34562843","0.0176","0.032","6902998","608168"
"0.606","609189","1101427","34562843","0.0176","0.032","6817560","609189"
"0.616","610151","1086107","34562843","0.0177","0.031","6733785","610151"
"0.626","611056","1071121","34562843","0.0177","0.031","6651625","611056"
"0.636","611906","1056456","34562843","0.0177","0.031","6571028","611906"
"0.646","612703","1042103","34562843","0.0177","0.03","6491948","612703"
