"Fbar","Yield","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners","Landings"
"Ages 3-6","Tonnes","Tonnes","Number","","","Number","Tonnes"
"0","0","1227473","4406297","0","0.279","8371233","0"
"0.01","13369","1141991","4388628","0.003","0.26","7860506","13369"
"0.02","25070","1064931","4370417","0.0057","0.244","7397134","25070"
"0.03","35339","995171","4351659","0.0081","0.229","6974926","35339"
"0.04","44370","931780","4332348","0.0102","0.215","6588716","44370"
"0.051","52327","873975","4312477","0.0121","0.203","6234165","52327"
"0.061","59346","821095","4292040","0.0138","0.191","5907603","59346"
"0.071","65543","772575","4271031","0.0153","0.181","5605899","65543"
"0.081","71016","727933","4249444","0.0167","0.171","5326372","71016"
"0.091","75850","686755","4227273","0.0179","0.162","5066710","75850"
"0.101","80117","648681","4204512","0.0191","0.154","4824910","80117"
"0.111","83880","613398","4181154","0.0201","0.147","4599227","83880"
"0.121","87192","580632","4157194","0.021","0.14","4388135","87192"
"0.131","90100","550146","4132626","0.0218","0.133","4190292","90100"
"0.141","92647","521727","4107443","0.0226","0.127","4004516","92647"
"0.152","94867","495188","4081639","0.0232","0.121","3829760","94867"
"0.162","96791","470366","4055208","0.0239","0.116","3665094","96791"
"0.172","98449","447111","4028144","0.0244","0.111","3509688","98449"
"0.182","99864","425294","4000441","0.025","0.106","3362799","99864"
"0.192","101059","404796","3972092","0.0254","0.102","3223764","101059"
"0.202","102051","385512","3943092","0.0259","0.098","3091983","102051"
"0.212","102859","367347","3913434","0.0263","0.094","2966917","102859"
"0.222","103498","350214","3883111","0.0267","0.09","2848077","103498"
"0.232","103981","334037","3852118","0.027","0.087","2735023","103981"
"0.242","104321","318745","3820447","0.0273","0.083","2627350","104321"
"0.253","104528","304275","3788094","0.0276","0.08","2524695","104528"
"0.263","104613","290568","3755050","0.0279","0.077","2426724","104613"
"0.273","104583","277571","3721311","0.0281","0.075","2333130","104583"
"0.283","104448","265237","3686868","0.0283","0.072","2243636","104448"
"0.293","104213","253520","3651716","0.0285","0.069","2157983","104213"
"0.303","103886","242380","3615848","0.0287","0.067","2075938","103886"
"0.313","103472","231779","3579257","0.0289","0.065","1997283","103472"
"0.323","102977","221684","3541937","0.0291","0.063","1921817","102977"
"0.333","102405","212064","3503881","0.0292","0.061","1849356","102405"
"0.343","101760","202887","3465082","0.0294","0.059","1779729","101760"
"0.354","101046","194129","3425534","0.0295","0.057","1712777","101046"
"0.364","100268","185764","3385228","0.0296","0.055","1648355","100268"
"0.374","99427","177769","3344159","0.0297","0.053","1586324","99427"
"0.384","98527","170122","3302320","0.0298","0.052","1526558","98527"
"0.394","97571","162804","3259703","0.0299","0.05","1468939","97571"
"0.404","96560","155796","3216301","0.03","0.048","1413357","96560"
"0.414","95498","149082","3172108","0.0301","0.047","1359708","95498"
"0.424","94385","142645","3127116","0.0302","0.046","1307897","94385"
"0.434","93224","136469","3081317","0.0303","0.044","1257834","93224"
"0.444","92016","130543","3034705","0.0303","0.043","1209433","92016"
"0.455","90763","124851","2987272","0.0304","0.042","1162617","90763"
"0.465","89466","119383","2939011","0.0304","0.041","1117312","89466"
"0.475","88127","114127","2889915","0.0305","0.039","1073446","88127"
"0.485","86745","109072","2839975","0.0305","0.038","1030956","86745"
"0.495","85323","104208","2789185","0.0306","0.037","989779","85323"
"0.505","83861","99526","2737536","0.0306","0.036","949857","83861"
"0.515","82360","95017","2685022","0.0307","0.035","911136","82360"
"0.525","80820","90673","2631634","0.0307","0.034","873563","80820"
"0.535","79243","86485","2577365","0.0307","0.034","837091","79243"
"0.545","77628","82447","2522207","0.0308","0.033","801673","77628"
"0.556","75977","78552","2466152","0.0308","0.032","767266","75977"
"0.566","74289","74793","2409193","0.0308","0.031","733828","74289"
"0.576","72566","71164","2351320","0.0309","0.03","701320","72566"
"0.586","70806","67659","2292528","0.0309","0.03","669706","70806"
"0.596","69012","64273","2232806","0.0309","0.029","638950","69012"
"0.606","67182","61001","2172148","0.0309","0.028","609018","67182"
"0.616","65318","57837","2110546","0.0309","0.027","579880","65318"
"0.626","63419","54777","2047990","0.031","0.027","551505","63419"
"0.636","61485","51816","1984473","0.031","0.026","523864","61485"
"0.646","59517","48951","1919988","0.031","0.025","496931","59517"
"0.657","57514","46178","1854524","0.031","0.025","470679","57514"
"0.667","55477","43492","1788075","0.031","0.024","445084","55477"
"0.677","53406","40890","1720631","0.031","0.024","420123","53406"
"0.687","51301","38369","1652185","0.0311","0.023","395772","51301"
"0.697","49161","35925","1582727","0.0311","0.023","372010","49161"
"0.707","46987","33556","1512250","0.0311","0.022","348818","46987"
"0.717","44778","31259","1440745","0.0311","0.022","326175","44778"
"0.727","42535","29030","1368204","0.0311","0.021","304063","42535"
"0.737","40258","26868","1294617","0.0311","0.021","282464","40258"
"0.747","37946","24769","1219976","0.0311","0.02","261361","37946"
"0.758","35599","22731","1144272","0.0311","0.02","240738","35599"
"0.768","33217","20752","1067497","0.0311","0.019","220579","33217"
"0.778","30800","18830","989643","0.0311","0.019","200869","30800"
"0.788","28348","16963","910699","0.0311","0.019","181593","28348"
"0.798","25861","15148","830657","0.0311","0.018","162739","25861"
"0.808","23338","13385","749509","0.0311","0.018","144292","23338"
"0.818","20779","11670","667246","0.0311","0.017","126241","20779"
"0.828","18184","10002","583858","0.0311","0.017","108573","18184"
"0.838","15554","8381","499337","0.0311","0.017","91276","15554"
"0.848","12887","6803","413673","0.0312","0.016","74339","12887"
"0.859","10183","5267","326858","0.0312","0.016","57751","10183"
"0.869","7443","3773","238882","0.0312","0.016","41503","7443"
"0.879","4666","2318","149737","0.0312","0.015","25584","4666"
"0.889","1851","902","59413","0.0312","0.015","9984","1851"
"0.899","-1000","-478","-32098","0.0312","0.015","-5306","-1000"
"0.909","-3890","-1821","-124807","0.0312","0.015","-20294","-3890"
"0.919","-6817","-3130","-218723","0.0312","0.014","-34989","-6817"
"0.929","-9783","-4406","-313854","0.0312","0.014","-49399","-9783"
"0.939","-12787","-5649","-410209","0.0312","0.014","-63533","-12787"
"0.949","-15830","-6861","-507799","0.0312","0.014","-77398","-15830"
