WBSS Herring 
1
./results_new/WBSS Assessment-LATON.txt
./results_new/WBSS Assessment-LANUM.txt
./results_new/WBSS Assessment-WELAND.txt
./results_new/WBSS Assessment-WEST.txt
./results_new/WBSS Assessment-NATMOR.txt
./results_new/WBSS Assessment-MATPROP.txt
./results_new/WBSS Assessment-FPROP.txt
./results_new/WBSS Assessment-MPROP.txt
./results_new/WBSS Assessment-F.txt
./results_new/WBSS Assessment-N.txt
./results_new/WBSS Assessment-DISTON.txt
./results_new/WBSS Assessment-DISNUM.txt
./results_new/WBSS Assessment-WEDIS.txt
./results_new/WBSS Assessment-CATON.txt
./results_new/WBSS Assessment-CANUM.txt
./results_new/WBSS Assessment-WECA.txt
