"harvest","yield","rec","ssb","biomass","yield/R","SSB/R"
"f0.1",0.242714810144220,107587.139501454,3799930.58170903,349685.369566221,496224.418619424,0.0283129223516147,0.092024146769794
"fmed",NA,NA,NA,NA,NA,NA,NA
"spr.35",0.216833567885247,105476.454445811,3851295.58911021,389551.997581501,540179.515118083,0.0273872654033755,0.101148298947239
"msy",0.310235504915622,109582.971554843,3654183.09326219,267742.429670299,403703.475817256,0.0299883636802160,0.0732701188848418
"crash",1.18150857837826,7.56691539271765e-06,0.000237529805719972,2.84863199340180e-06,8.96875288702668e-06,0.0318566984458297,0.0119927349107509
"3y_aver",0.462032806759967,103053.823353633,1707257.77603912,99090.3509296916,167904.898387100,0.0316633042658175,0.0470096580816013
