"a). Catch(2011) = Zero"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","1669600.82831789","1669600.82831789","1669600.82831789","0.00657269622747697","0","0"," ","2011","84072.1389129777","0.417699878560473","61820"
"1","2850508.99302133","1228767.79757930","1236870.71488318","0.144836353777982","0","0"," ","2012","102886.808868889","0","0"
"2","811212.378747215","1495800.05657670","745285.34289941","0.339712889946276","0","0"," ","2013","181374.828185907","0","0"
"3","322744.578815793","472868.341786181","1224657.50677513","0.382400575980381","0","0"," ","","","",""
"4","175899.298715308","180270.888686179","387151.853577336","0.392679134366961","0","0"," ","","","",""
"5","92841.0380820257","97244.8991799539","147593.320452072","0.453504818333748","0","0"," ","","","",""
"6","59257.3548776946","48297.7001903916","79617.389538596","0.442214985560802","0","0"," ","","","",""
"7","32665.8001083569","31176.821550521","39542.8124488139","0.392679134366961","0","0"," ","","","",""
"8","58137.4475791866","50200.0447476434","66625.7430274224","0.392679134366961","0","0"," ","","","",""
""
"b). Catch(2011) = 2009 IMC -15% (52 547 t)"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","1669600.82831789","1669600.82831789","1669600.82831789","0.00657269622747697","0.00471975489440311","0.00471975489440311"," ","2011","84072.1389129777","0.417699878560473","61820"
"1","2850508.99302133","1228767.79757930","1231046.74294417","0.144836353777982","0.104004820240040","0.104004820240040"," ","2012","100026.392751882","0.299944037879892","52547"
"2","811212.378747215","1495800.05657670","671666.767215338","0.339712889946276","0.243942747317753","0.243942747317753"," ","2013","136132.821935442","0.299944037879892","55346.9713558607"
"3","322744.578815793","472868.341786181","959558.94851645","0.382400575980381","0.274596136447155","0.274596136447155"," ","","","",""
"4","175899.298715308","180270.888686179","294188.543473898","0.392679134366961","0.281977015552699","0.281977015552699"," ","","","",""
"5","92841.0380820257","97244.8991799539","111328.316420273","0.453504818333748","0.325655029821413","0.325655029821413"," ","","","",""
"6","59257.3548776946","48297.7001903916","57488.0730292756","0.442214985560802","0.317547969698301","0.317547969698301"," ","","","",""
"7","32665.8001083569","31176.821550521","28784.4691114268","0.392679134366961","0.281977015552699","0.281977015552699"," ","","","",""
"8","58137.4475791866","50200.0447476434","50255.1997527645","0.392679134366961","0.281977015552699","0.281977015552699"," ","","","",""
""
"c). Catch(2011) = 2009 IMC (61 820 t)"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","1669600.82831789","1669600.82831789","1669600.82831789","0.00657269622747697","0.00568483584879111","0.00568483584879112"," ","2011","84072.1389129777","0.417699878560473","61820"
"1","2850508.99302133","1228767.79757930","1229859.25628114","0.144836353777982","0.125271405777614","0.125271405777614"," ","2012","99451.4449376846","0.361275671580486","61820"
"2","811212.378747215","1495800.05657670","657533.524033519","0.339712889946276","0.293823409484474","0.293823409484474"," ","2013","128408.358874273","0.361275671580486","62335.0221377256"
"3","322744.578815793","472868.341786181","912869.639756622","0.382400575980381","0.330744709278329","0.330744709278329"," ","","","",""
"4","175899.298715308","180270.888686179","278125.456228904","0.392679134366961","0.33963480782657","0.33963480782657"," ","","","",""
"5","92841.0380820257","97244.8991799539","105090.916709169","0.453504818333748","0.392243968021147","0.392243968021147"," ","","","",""
"6","59257.3548776946","48297.7001903916","53784.6743127022","0.442214985560802","0.382479201195899","0.382479201195899"," ","","","",""
"7","32665.8001083569","31176.821550521","26974.8444107806","0.392679134366961","0.33963480782657","0.33963480782657"," ","","","",""
"8","58137.4475791866","50200.0447476434","47439.5480075602","0.392679134366961","0.33963480782657","0.33963480782657"," ","","","",""
""
"d). Catch(2011) = 2009 IMC +15% (71 093 t)"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","1669600.82831789","1669600.82831789","1669600.82831789","0.00657269622747697","0.00669944537196551","0.00669944537196551"," ","2011","84072.1389129777","0.417699878560473","61820"
"1","2850508.99302133","1228767.79757930","1228612.06218205","0.144836353777982","0.147629406019686","0.147629406019686"," ","2012","98850.5809931995","0.425754883755933","71093"
"2","811212.378747215","1495800.05657670","642995.515345044","0.339712889946276","0.346263978979178","0.346263978979178"," ","2013","120771.412004730","0.425754883755933","68513.4854111132"
"3","322744.578815793","472868.341786181","866231.781306461","0.382400575980381","0.389774862601877","0.389774862601877"," ","","","",""
"4","175899.298715308","180270.888686179","262182.844458564","0.392679134366961","0.400251634695129","0.400251634695129"," ","","","",""
"5","92841.0380820257","97244.8991799539","98909.8690734864","0.453504818333748","0.462250292908541","0.462250292908541"," ","","","",""
"6","59257.3548776946","48297.7001903916","50148.1807522184","0.442214985560802","0.450742744818187","0.450742744818187"," ","","","",""
"7","32665.8001083569","31176.821550521","25194.8900862556","0.392679134366961","0.400251634695129","0.400251634695129"," ","","","",""
"8","58137.4475791866","50200.0447476434","44649.3343979346","0.392679134366961","0.400251634695129","0.400251634695129"," ","","","",""
""
"e). Catch(2011) = 2009 IMC (61 820 t)"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","1669600.82831789","1669600.82831789","1669600.82831789","0.00657269622747697","0.00568483584879111","0.00568483584879112"," ","2011","84072.1389129777","0.417699878560473","61820"
"1","2850508.99302133","1228767.79757930","1229859.25628114","0.144836353777982","0.125271405777614","0.125271405777614"," ","2012","99451.4449376846","0.361275671580486","61820"
"2","811212.378747215","1495800.05657670","657533.524033519","0.339712889946276","0.293823409484474","0.293823409484474"," ","2013","128408.358874273","0.361275671580486","62335.0221377256"
"3","322744.578815793","472868.341786181","912869.639756622","0.382400575980381","0.330744709278329","0.330744709278329"," ","","","",""
"4","175899.298715308","180270.888686179","278125.456228904","0.392679134366961","0.33963480782657","0.33963480782657"," ","","","",""
"5","92841.0380820257","97244.8991799539","105090.916709169","0.453504818333748","0.392243968021147","0.392243968021147"," ","","","",""
"6","59257.3548776946","48297.7001903916","53784.6743127022","0.442214985560802","0.382479201195899","0.382479201195899"," ","","","",""
"7","32665.8001083569","31176.821550521","26974.8444107806","0.392679134366961","0.33963480782657","0.33963480782657"," ","","","",""
"8","58137.4475791866","50200.0447476434","47439.5480075602","0.392679134366961","0.33963480782657","0.33963480782657"," ","","","",""
""
"f). Fbar(2011) = 0.25"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","1669600.82831789","1669600.82831789","1669600.82831789","0.00657269622747697","0.00393386290303015","0.00393386290303015"," ","2011","84072.1389129777","0.417699878560473","61820"
"1","2850508.99302133","1228767.79757930","1232014.59298344","0.144836353777982","0.0866868541338424","0.0866868541338424"," ","2012","100497.062225141","0.25","44652.9153058448"
"2","811212.378747215","1495800.05657670","683399.973920038","0.339712889946276","0.203323550821367","0.203323550821367"," ","2013","142774.457578357","0.25","48752.4524453577"
"3","322744.578815793","472868.341786181","999337.887071334","0.382400575980381","0.228872807731148","0.228872807731148"," ","","","",""
"4","175899.298715308","180270.888686179","307952.082582624","0.392679134366961","0.23502468789329","0.23502468789329"," ","","","",""
"5","92841.0380820257","97244.8991799539","116680.096128001","0.453504818333748","0.271429824145910","0.271429824145910"," ","","","",""
"6","59257.3548776946","48297.7001903916","60691.4424083054","0.442214985560802","0.264672680229652","0.264672680229652"," ","","","",""
"7","32665.8001083569","31176.821550521","30347.4126721492","0.392679134366961","0.23502468789329","0.23502468789329"," ","","","",""
"8","58137.4475791866","50200.0447476434","52671.0699185301","0.392679134366961","0.23502468789329","0.23502468789329"," ","","","",""
""
"g). Fbar(2011) = 0.167"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","1669600.82831789","1669600.82831789","1669600.82831789","0.00657269622747697","0.00262782041922414","0.00262782041922414"," ","2011","84072.1389129777","0.417699878560473","61820"
"1","2850508.99302133","1228767.79757930","1233624.70759272","0.144836353777982","0.0579068185614067","0.0579068185614067"," ","2012","101284.190800309","0.167","30814.3389819584"
"2","811212.378747215","1495800.05657670","703354.011137604","0.339712889946276","0.135820131948673","0.135820131948673"," ","2013","154556.107253609","0.167","35740.8469455877"
"3","322744.578815793","472868.341786181","1069125.5663495","0.382400575980381","0.152887035564407","0.152887035564407"," ","","","",""
"4","175899.298715308","180270.888686179","332264.044309394","0.392679134366961","0.156996491512718","0.156996491512718"," ","","","",""
"5","92841.0380820257","97244.8991799539","126149.052636336","0.453504818333748","0.181315122529468","0.181315122529468"," ","","","",""
"6","59257.3548776946","48297.7001903916","66414.6329530247","0.442214985560802","0.176801350393407","0.176801350393407"," ","","","",""
"7","32665.8001083569","31176.821550521","33134.7504442078","0.392679134366961","0.156996491512718","0.156996491512718"," ","","","",""
"8","58137.4475791866","50200.0447476434","56945.4927794687","0.392679134366961","0.156996491512718","0.156996491512718"," ","","","",""
""
"h). Fbar(2011) = 0.109"
"Age","N(2011)","N(2012)","N(2013)","F(2011)","F(2012)","F(2013)","","Year","SSB","F.bar","Yield"
"0","1669600.82831789","1669600.82831789","1669600.82831789","0.00657269622747697","0.00171516422572114","0.00171516422572114"," ","2011","84072.1389129777","0.417699878560473","61820"
"1","2850508.99302133","1228767.79757930","1234751.09674739","0.144836353777982","0.0377954684023553","0.0377954684023553"," ","2012","101837.917337705","0.109","20580.518157724"
"2","811212.378747215","1495800.05657670","717642.609845717","0.339712889946276","0.088649068158116","0.088649068158116"," ","2013","163376.705512720","0.109","24915.3808301167"
"3","322744.578815793","472868.341786181","1120765.74259947","0.382400575980381","0.0997885441707807","0.0997885441707807"," ","","","",""
"4","175899.298715308","180270.888686179","350383.566393432","0.392679134366961","0.102470763921474","0.102470763921474"," ","","","",""
"5","92841.0380820257","97244.8991799539","133218.400816216","0.453504818333748","0.118343403327617","0.118343403327617"," ","","","",""
"6","59257.3548776946","48297.7001903916","70731.3662448898","0.442214985560802","0.115397288580128","0.115397288580128"," ","","","",""
"7","32665.8001083569","31176.821550521","35233.123753086","0.392679134366961","0.102470763921474","0.102470763921474"," ","","","",""
"8","58137.4475791866","50200.0447476434","60136.6980031292","0.392679134366961","0.102470763921474","0.102470763921474"," ","","","",""
""
