"harvest","yield","rec","ssb","biomass","yield/R","SSB/R"
"f0.1",0.232882577694224,104003.904004655,3850381.72076271,333167.872039926,473945.398681258,0.0270113229147714,0.0865285304683845
"fmed",NA,NA,NA,NA,NA,NA,NA
"spr.35",0.202697714319609,102111.012367001,3941123.26903355,384259.508479715,531278.878477913,0.0259091140765157,0.0974999973989505
"msy",0.26496017552529,104615.96519138,3747316.68793817,287503.897507230,421668.081403370,0.0279175671295989,0.0767226048528659
"crash",0.895461862618975,9.4465077995254e-06,0.000303118959491784,4.54185646958649e-06,1.22027132287194e-05,0.0311643580967803,0.0149837426111566
"3y_aver",0.457110590308085,90763.3788784726,1352802.82385631,122828.250195973,192266.350112810,0.0303833617467132,0.0417944599255844
