A2014,B2014,C2014,D2014
51.8,1051.9,0.3,284.5
123.5,185.5,50.3,10.8
301.3,0.4,60.1,20.1
378,0.9,5,0.9
612.2,1.6,0.5,0
482.9,2.4,0.5,0
282.5,0.8,0.2,0
190.2,0.8,0,0
91,0.3,0.1,0
121.5,0.9,0,0
