age,A2004,A2005,A2006,A2007,A2008,A2009,A2010,A2011,A2012,B2004,B2005,B2006,B2007,B2008,B2009,B2010,B2011,B2012,C2004,C2005,C2006,C2007,C2008,C2009,C2010,C2011,C2012,D2004,D2005,D2006,D2007,D2008,D2009,D2010,D2011,D2012
0,,0.119405647,0.064896237,0.007549575,0.009859078,0.017155475,0,0,0.035,0.0133,0.0106,0.00960008,0.010821318,0.006706585,0.008886691,0.006829351,0.0082,0.009993045,0.024151094,0.026709171,0.020483879,0.048239841,0.036059663,0.01788187,0.027910093,0.021373479,0.027,0.022260555,0.015183306,0.013074729,0.02100382,0.015114777,0.009310632,0.00746261,0.007322263,0.012226617
1,0.073291701,0.087913133,0.111141507,0.099258465,0.060883408,0.076248282,0.086197069,0.111632392,0.0863,0.0252,0.0329,0.022500189,0.045115432,0.040156407,0.036321481,0.051273895,0.0364,0.038189904,0.059767657,0.064915351,0.067947931,0.070831438,0.070596035,0.08631049,0.072338975,0.05299578,0.064932984,0.05372162,0.031570043,0.029819816,0.031083285,0.02943866,0.01263883,0.016464292,0.013423197,0.022609399
2,0.12142894,0.121851919,0.126917796,0.1487,0.1405,0.148221164,0.13870136,0.141334188,0.1307,0.0387,0,0.044487882,0,0,0.085710248,0.085740476,0,0.1109,0.068867062,0.072208116,0.081127902,0.074662255,0.087071226,0.102136709,0.080462953,0.084703136,0.072542444,0.072617766,0.067822052,0.069333305,0.058709692,0.084644596,0.088830886,0.03990237,0.044987874,0.039699638
3,0.137658421,0.154835922,0.144683369,0.1516,0.1803,0.181326616,0.166603444,0.159843514,0.171,0.0955,0,0.118658753,0,0,0.1492,0.1842,0,0.1309,0.120067016,0.105999697,0.119441212,0.110691705,0.109039828,0.0808896,0.122330624,0.115493078,0.124325395,0.121339493,0.105411625,0.112993251,0.08541756,0.109970604,0.099594565,0.114,0.07113,0.08521
4,0.182757942,0.165644055,0.172250451,0.1635,0.1812,0.2156,0.192153593,0.183162591,0.1854,0.137,0,0.15333125,0,0,0,0.1425,0,0,0.138490999,0.15418686,0.141304376,0.122642106,0.139104546,0.206743543,0.149329955,0.13385809,0.169162601,0.147451494,0.158113294,0.136863381,0.130440904,0.133425149,0.186378831,0,0,0
5,0.20590748,0.208273706,0.181399359,0.1935,0.1833,0.2161,0.222495408,0.197007924,0.2059,0.1745,0,0.160018333,0,0,0,0.2054,0,0.1945,0.149412567,0.17530298,0.184292214,0.152126676,0.167554697,0,0.191260901,0.191474203,0.174562793,0.171204098,0.156585241,0.187575875,0.144891766,0.186674857,0,0,0,0
6,0.221121168,0.222749465,0.2195,0.19,0.2157,0.239030112,0.22186533,0.216744237,0.2222,0.1681,0,0,0,0,0.312,0.191,0,0.1596,0.168561004,0.188587994,0.187957053,0.179085547,0.175476262,0,0.221499232,0.193171607,0.199391361,0.185153188,0.160433822,0.197295208,0.190965373,0.161144301,0,0,0,0
7,0.229222602,0.239864422,0.2369,0.2235,0.2161,0.2433,0.2169,0.221076576,0.2387,0.2168,0,0,0,0,0,0,0,0,0.186770612,0.21643426,0.212838097,0.174842088,0.20308267,0,0.216330784,0.234323278,0.219775035,0.182757021,0.177604416,0.224874289,0.165336412,0.183991874,0,0,0,0
8,0.241448877,0.266084729,0.235151189,0.235,0.2561,0.2481,0.2342,0.223392181,0.2396,0.2315,0,0.214333334,0,0,0,0,0,0.184,0.177766037,0.20891011,0.206289884,0.144077765,0.198609233,0.268533972,0.2045,0.24825,0.215929522,0.213038923,0,0.208522501,0.215862013,0.158643934,0.263,0,0,0
9,0.265358501,0.2654,0.2622,0.2524,0.2726,0.2731,0.2453,0.2397,0.2466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
