age,A2004,A2005,A2006,A2007,A2008,B2004,B2005,B2006,B2007,B2008,C2004,C2005,C2006,C2007,C2008,D2004,D2005,D2006,D2007,D2008
0,,0.119,0.065,0.008,0.010,0.013,0.011,0.010,0.011,0.007,0.024,0.027,0.020,0.048,0.036,0.022,0.015,0.013,0.021,0.015
1,0.073,0.088,0.111,0.099,0.061,0.025,0.033,0.023,0.045,0.040,0.060,0.065,0.068,0.071,0.071,0.054,0.032,0.030,0.031,0.029
2,0.121,0.122,0.127,0.149,0.141,0.039,0.000,0.044,0.000,0.000,0.069,0.072,0.081,0.075,0.087,0.073,0.068,0.069,0.059,0.085
3,0.138,0.155,0.145,0.152,0.180,0.096,0.000,0.119,0.000,0.000,0.120,0.106,0.119,0.111,0.109,0.121,0.105,0.113,0.085,0.110
4,0.183,0.166,0.172,0.164,0.181,0.137,0.000,0.153,0.000,0.000,0.138,0.154,0.141,0.123,0.139,0.147,0.158,0.137,0.130,0.133
5,0.206,0.208,0.181,0.194,0.183,0.175,0.000,0.160,0.000,0.000,0.149,0.175,0.184,0.152,0.168,0.171,0.157,0.188,0.145,0.187
6,0.221,0.223,0.220,0.190,0.216,0.168,0.000,0.000,0.000,0.000,0.169,0.189,0.188,0.179,0.175,0.185,0.160,0.197,0.191,0.161
7,0.229,0.240,0.237,0.224,0.216,0.217,0.000,0.000,0.000,0.000,0.187,0.216,0.213,0.175,0.203,0.183,0.178,0.225,0.165,0.184
8,0.241,0.266,0.235,0.235,0.256,0.232,0.000,0.214,0.000,0.000,0.178,0.209,0.206,0.144,0.199,0.213,0.000,0.209,0.216,0.159
9,0.265,0.265,0.262,0.252,0.273,,0.000,0.000,0.000,0.000,,,,0.000,0.000,,,,0.000,0.000
