A2017,B2017,C2017,D2017
0.0,462.0,0.1,0.0
11.4,121.9,75.6,0.4
74.3,0.0,26.7,7.7
1072.9,0.0,6.9,0.0
834.8,0.0,3.0,0.0
221.6,0.0,1.2,0.0
145.4,0.0,0.1,0.0
175.5,0.0,0.0,0.0
106.5,0.0,0.0,0.0
114.7,0.0,0.0,0.0
