A2015,B2015,C2015,D2015
0.0,507.5,2.0,28.7
22.1,203.2,50.7,118.9
454.2,0.0,77.9,19.6
240.6,0.0,6.9,0.1
281.6,0.0,1.3,0.0
456.1,0.0,4.9,0.0
430.9,0.0,1.1,0.0
270.1,0.0,1.2,0.0
167.2,0.0,0.4,0.0
170.3,0.0,0.0,0.0
