,harvest,yield,rec,ssb,biomass,yield/R,SSB/R
f0.1,0.177535219,296910.8425,7621729.204,1606993.865,1946586.285,0.038955837,0.210843737
fmed,NA,NA,NA,NA,NA,NA,NA
spr.35,0.186960599,297655.8015,7525783.333,1535502.03,1870696.473,0.039551471,0.204032187
msy,0.198886078,297974.6019,7404767.949,1451659.688,1781311.512,0.04024091,0.196043914
crash,0.997318251,3.86E-06,7.58E-05,4.37E-06,7.65E-06,0.050980816,0.057733679
3y_aver,0.196132291,297868.0197,416868.6715,91952.04403,280100.5965,0.039846363,0.200629452
