Year,fleet,TAC,Catch
2014,C,46750,24931
2013,C,55000,28365
2012,C,45000,22268
2011,C,30000,17424
2014,D,6659,3959
2013,D,6659,2867
2012,D,6659,5388
2011,D,6659,2598
