,B,D
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,,
1997,,
1998,,
1999,,
2000,,
2001,,
2002,0.613888889,
2003,0.236538462,
2004,0.357447368,
2005,0.436,0.583850932
2006,0.280023529,0.453039751
2007,0.222476489,0.370226033
2008,0.457619909,0.514385353
2009,0.611135439,0.51940762
2010,0.667623464,0.30998464
2011,0.53975452,0.390148671
2012,0.594301676,0.809083372
2013,0.565347222,0.43329155
2014,1.068704624,0.594500662
2015,0.502350102,0.93581324
2016,1.085487969,0.379352079
2017,0.613274725,0.055241452
2018,0.876719413,0.05479922
2019,0.391281274,0.054096885
