year,A,B,C,D
1987,610000,,,
1988,515000,,,
1989,514000,,,
1990,403000,,,
1991,423000,,,
1992,406000,,,
1993,340000,,,
1994,346000,,,
1995,429000,,,
1996,156000,44000,,
1997,159000,24000,,
1998,254000,22000,,
1999,265000,30000,,
2000,265000,36000,,
2001,,36000,,
2002,,36000,,
2003,,52000,,
2004,,38000,,
2005,,50000,,
2006,,43000,,
2007,,32000,,
2008,,19000,,
2009,,16000,,
2010,,14000,,
2011,,16000,,
2012,,18000,,
2013,,14000,,
2014,,13000,,
2015,,16000,,
2016,555086,13000,,
2017,458926,11375,,
2018,517891,9669,34618,6659
2019,311572,13190,0,0
2020,431062,8954,0,0
2021,359367,6425,0,0
2022,,,0,0
