"","age","year","unit","season","area","iter","data"
"1","all",1947,"unique","all","unique","1",0.121490743146034
"2","all",1948,"unique","all","unique","1",0.121301541843944
"3","all",1949,"unique","all","unique","1",0.133343791416777
"4","all",1950,"unique","all","unique","1",0.140084955074082
"5","all",1951,"unique","all","unique","1",0.168188991530373
"6","all",1952,"unique","all","unique","1",0.170784493787113
"7","all",1953,"unique","all","unique","1",0.177935506385802
"8","all",1954,"unique","all","unique","1",0.198447354820474
"9","all",1955,"unique","all","unique","1",0.195751486770806
"10","all",1956,"unique","all","unique","1",0.197297832141389
"11","all",1957,"unique","all","unique","1",0.210294660548761
"12","all",1958,"unique","all","unique","1",0.219422902853881
"13","all",1959,"unique","all","unique","1",0.239075468230429
"14","all",1960,"unique","all","unique","1",0.210130293561761
"15","all",1961,"unique","all","unique","1",0.244415435367286
"16","all",1962,"unique","all","unique","1",0.274262240269317
"17","all",1963,"unique","all","unique","1",0.196671545028996
"18","all",1964,"unique","all","unique","1",0.286230560155077
"19","all",1965,"unique","all","unique","1",0.471744208890767
"20","all",1966,"unique","all","unique","1",0.483685022393353
"21","all",1967,"unique","all","unique","1",0.641589311696548
"22","all",1968,"unique","all","unique","1",0.968298962896845
"23","all",1969,"unique","all","unique","1",0.871520098719471
"24","all",1970,"unique","all","unique","1",0.934434040024188
"25","all",1971,"unique","all","unique","1",1.27596151988688
"26","all",1972,"unique","all","unique","1",0.663888283821524
"27","all",1973,"unique","all","unique","1",0.871682850673859
"28","all",1974,"unique","all","unique","1",0.874882846579456
"29","all",1975,"unique","all","unique","1",1.0409602725643
"30","all",1976,"unique","all","unique","1",0.806839333324655
"31","all",1977,"unique","all","unique","1",0.371879517257729
"32","all",1978,"unique","all","unique","1",0.268580009794847
"33","all",1979,"unique","all","unique","1",0.219544568319821
"34","all",1980,"unique","all","unique","1",0.193218090165277
"35","all",1981,"unique","all","unique","1",0.214431939451305
"36","all",1982,"unique","all","unique","1",0.190175167472352
"37","all",1983,"unique","all","unique","1",0.235532453394416
"38","all",1984,"unique","all","unique","1",0.303655052464415
"39","all",1985,"unique","all","unique","1",0.380817222976696
"40","all",1986,"unique","all","unique","1",0.3584254479856
"41","all",1987,"unique","all","unique","1",0.344067530557645
"42","all",1988,"unique","all","unique","1",0.32436035415174
"43","all",1989,"unique","all","unique","1",0.310165286475238
"44","all",1990,"unique","all","unique","1",0.255668670669526
"45","all",1991,"unique","all","unique","1",0.279429890390312
"46","all",1992,"unique","all","unique","1",0.309443905755742
"47","all",1993,"unique","all","unique","1",0.348458035230668
"48","all",1994,"unique","all","unique","1",0.360818914943179
"49","all",1995,"unique","all","unique","1",0.311749930415762
"50","all",1996,"unique","all","unique","1",0.180950068951241
"51","all",1997,"unique","all","unique","1",0.16448019619115
"52","all",1998,"unique","all","unique","1",0.187803197134188
"53","all",1999,"unique","all","unique","1",0.180529540102886
"54","all",2000,"unique","all","unique","1",0.18126514240389
"55","all",2001,"unique","all","unique","1",0.158009342337615
"56","all",2002,"unique","all","unique","1",0.147662454804671
"57","all",2003,"unique","all","unique","1",0.173619304176023
"58","all",2004,"unique","all","unique","1",0.216969492797574
"59","all",2005,"unique","all","unique","1",0.234406858194512
"60","all",2006,"unique","all","unique","1",0.208227276052958
"61","all",2007,"unique","all","unique","1",0.179578691543984
"62","all",2008,"unique","all","unique","1",0.113075158508221
"63","all",2009,"unique","all","unique","1",0.066583026210595
"64","all",2010,"unique","all","unique","1",0.0705927956810448
"65","all",2011,"unique","all","unique","1",0.0916946569519819
"66","all",2012,"unique","all","unique","1",0.14765299412046
"67","all",2013,"unique","all","unique","1",0.174426127841877
"68","all",2014,"unique","all","unique","1",0.177446735544728
"69","all",2015,"unique","all","unique","1",0.184025329400722
"70","all",2016,"unique","all","unique","1",0.188721029545636
"71","all",2017,"unique","all","unique","1",0.170022710252329
"72","all",2018,"unique","all","unique","1",0.191058393223343
"73","all",2019,"unique","all","unique","1",0.178351334959333
