Sprat      

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        539633162         607973        4723082         463344          1.141
1975        721510249         615087        4697817         732312          1.627
1976        339397555         504181        2746029         628598          1.701
1977        653858533         344120        4172180         385257          1.465
1978       1016645285         401520        4750916         458804          1.006
1979        527841091         613609        3953092         463638          0.681
1980        334515209         413604        2852542         387434          2.147
1981        101644496         307924        1028925         280582          1.051
1982         54090447         189670         763636         162357          0.997
1983         71724566          93624         483636         115440          1.646
1984         33208094          70515         345704         113444          0.993
1985         22795403          61385         247607          62514          1.300
1986         85716526          22597         583707          27520          1.039
1987         40782034          59490         405449          53942          0.372
1988         61434318          59761         360381         103652          1.307
1989         55927872          42633         393420          58420          0.292
1990         75527003          42708         427366          78180          1.516
1991        119129992          88043        1722203         125815          0.701
1992        110809822         127498        1174527         156471          0.806
1993        171686370         177156        1471787         208848          1.613
1994        141486118         151767        1288575         424206          0.694
1995         37493632         221594         525758         446555          1.536
1996         64792204         113293         648531          95496          1.368
1997         50069046         114526         597977         125174          1.013
1998        112811566         139058         891299         188907          1.679
1999         79988683         133367         720128         243158          0.889
2000         75560694         189389         855724         222027          1.434
2001         63482197         129720         760438         153321          1.525
2002         85566346         114994         852460         174713          1.606
2003        111315174         145514         777998         174988          1.239
2004        203079862         180410        2168510         231352          1.865
2005         70944558         245894        1087560         280275          1.285
2006         93961463         186339         910831          78028          1.636
2007         66651085         148844         738746          99902          1.609
2008        148963156         112133        1535930          69891          1.219
2009        112815667         204255        1157190         170934          1.025
2010        127985206         183356        1191541         145415          0.974
2011         95698272         171880         822874         122472          0.856
2012         49066660         142962         679531          96030          1.289
2013         93617040          90222         735067          60207          1.754
2014                          130685

