Sprat      

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        531742003         604083        4662547         463344          1.152
1975        716048196         601187        4647852         732312          1.615
1976        333164709         497285        2704008         628598          1.655
1977        635868135         338897        4065033         385257          1.451
1978       1027702080         390252        4768458         458804          0.962
1979        534916266         616983        3999682         463638          0.634
1980        325410912         422634        2809116         387434          2.155
1981         95071524         299650         986647         280582          1.056
1982         48900806         179384         702186         162357          0.990
1983         68385748          86086         454534         115440          1.645
1984         33952728          65989         341826         113444          0.932
1985         22954696          60946         248920          62514          1.269
1986         79041133          22922         541977          27520          1.069
1987         41086447          55186         397176          53942          0.367
1988         62371181          57206         361658         103652          1.274
1989         55831216          43146         394180          58420          0.289
1990         74958541          42884         424906          78180          1.520
1991        112652828          87098        1637493         125815          0.693
1992        103152158         121645        1098681         156471          0.815
1993        150158425         164835        1307324         208848          1.579
1994        130450267         134403        1174414         424206          0.676
1995         36165305         199768         484635         446555          1.479
1996         60075810         106967         605707          95496          1.345
1997         49088111         107122         574394         125174          0.998
1998        110930479         132965         871844         188907          1.657
1999         77262022         130725         700340         243158          0.893
2000         72924988         182842         826035         222027          1.447
2001         61458989         124021         734023         153321          1.501
2002         82799752         110726         824367         174713          1.598
2003        108296761         140103         754499         174988          1.230
2004        192991082         174458        2068118         231352          1.846
2005         66493588         233748        1026673         280275          1.305
2006         84745282         172393         830044          78028          1.654
2007         61470125         134167         674707          99902          1.558
2008        142624068         102811        1462086          69891          1.296
2009        115361082         191031        1148855         170934          0.874
2010        119860005         188284        1146817         145415          0.986
2011         91346183         165643         784737         122472          0.891
2012         72928622         133756         866957          96030          1.369
2013        172520344         107317        1265950          60207          1.166
2014        190857265         221486        2134836         190268          0.578
2015         98758648         352246        1423172         298227          1.388
2016        160107772         220232        1038098         227169          2.260
2017        230855649         198886        1923117         135824          1.253
2018                          332005

