Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1974 1 1 0 0 0 0.482857 0.00102221 0.483879 5.38594e+008 4.26989e+008 436472 0 0.00632446 0.00632446 0 0 1 0 3.40631e+006 0 0 0 
1974 1 1 1 0 0 0.456422 0.206603 0.663025 1.39285e+008 1.01825e+008 2.10374e+007 1.61011e+007 0.00832646 0.00832646 134065 134065 1 0.409297 1.15975e+006 474682 0 0 
1974 1 1 2 0 0 0.401885 0.353947 0.755832 1.08626e+007 7.62244e+006 2.69794e+006 2.15572e+006 0.0135262 0.0135262 29158.7 29158.7 1 0.87187 146929 128103 0 0 
1974 1 1 3 0 0 0.279594 0.312219 0.591813 470788 355332 110942 475613 0.0184048 0.0184048 8753.57 8753.57 1 0.94676 8664.76 8203.46 0 0 
1974 2 1 0 0 0 0.326748 0.00741883 0.334166 3.31982e+008 2.82209e+008 2.09366e+006 1.88415e+006 0.00584713 0.00584713 11016.9 11016.9 1 0 1.94115e+006 0 0 0 
1974 2 1 1 0 0 0.235424 0.221595 0.457019 7.17721e+007 5.76087e+007 1.27658e+007 1.15441e+007 0.00894888 0.00894888 103307 103307 1 0.409297 642280 262883 0 0 
1974 2 1 2 0 0 0.217345 0.751417 0.968762 5.10127e+006 3.26713e+006 2.45497e+006 866399 0.0149823 0.0149823 12980.6 12980.6 1 0.87187 76428.6 66635.7 0 0 
1974 2 1 3 0 0 0.187755 0.712868 0.900622 260498 171718 122412 48228.1 0.0196945 0.0196945 949.829 949.829 1 0.94676 5130.38 4857.24 0 0 
1974 3 1 0 0 0 0.296626 0.015222 0.311848 2.37678e+008 2.04188e+008 3.10816e+006 2.8427e+006 0.0049933 0.0049933 14194.5 14194.5 1 0 1.1868e+006 0 0 0 
1974 3 1 1 0 0 0.27469 0.0887592 0.363449 4.54438e+007 3.81014e+007 3.38185e+006 1.10913e+007 0.00774447 0.00774447 85896.3 85896.3 1 0.409297 351938 144047 0 0 
1974 3 1 2 0 0 0.174943 0.201971 0.376914 1.9362e+006 1.61314e+006 325807 1.33604e+006 0.0150214 0.0150214 20069.1 20069.1 1 0.87187 29084.4 25357.8 0 0 
1974 3 1 3 0 0 0.174943 0.474298 0.649241 105845 77855.5 36926.7 34534.2 0.0196543 0.0196543 678.744 678.744 1 0.94676 2080.3 1969.55 0 0 
1974 4 1 0 0 0 0.444899 0.0093123 0.454211 1.74002e+008 1.39846e+008 1.30229e+006 1.30233e+006 0.0065831 0.0065831 8573.38 8573.38 1 0 1.14547e+006 0 0 0 
1974 4 1 1 0 0 0.409145 0.101497 0.510643 3.15959e+007 2.47431e+007 2.51137e+006 2.51132e+006 0.0106994 0.0106994 26869.5 26869.5 1 0.409297 338057 138366 0 0 
1974 4 1 2 0 0 0.3178 0.372774 0.690573 1.32819e+006 959176 357556 359117 0.0183478 0.0183478 6589.02 6589.02 1 0.87187 24369.3 21246.9 0 0 
1974 4 1 3 0 0 0.3178 0.372774 0.690573 55297.7 39934.4 14886.5 14821.6 0.0163205 0.0163205 241.896 241.896 1 0.94676 902.487 854.439 0 0 
1975 1 1 0 0 0 0.51835 0.00182273 0.520173 7.21915e+008 5.62882e+008 1.02598e+006 250931 0.00483392 0.00483392 1212.98 1212.98 1 0 3.48968e+006 0 0 0 
1975 1 1 1 0 0 0.492266 0.368399 0.860665 1.10482e+008 7.4084e+007 2.72925e+007 2.77235e+007 0.0086133 0.0086133 238791 238791 1 0.409297 951619 389494 0 0 
1975 1 1 2 0 0 0.422257 0.631134 1.05339 1.8961e+007 1.17224e+007 7.39843e+006 1.00526e+007 0.0129155 0.0129155 129834 129834 1 0.87187 244891 213513 0 0 
1975 1 1 3 0 0 0.236604 0.556727 0.793332 693524 478764 266541 260182 0.0171986 0.0171986 4474.76 4474.76 1 0.94676 11927.6 11292.6 0 0 
1975 2 1 0 0 0 0.289484 0.0132287 0.302712 4.29119e+008 3.70255e+008 4.89801e+006 1.17957e+006 0.00754079 0.00754079 8894.86 8894.86 1 0 3.23589e+006 0 0 0 
1975 2 1 1 0 0 0.220191 0.395133 0.615324 4.67209e+007 3.4892e+007 1.37869e+007 1.45419e+007 0.0110761 0.0110761 161067 161067 1 0.409297 517484 211804 0 0 
1975 2 1 2 0 0 0.199951 1.33987 1.53982 6.61272e+006 3.37365e+006 4.52026e+006 4.37841e+006 0.0168117 0.0168117 73608.7 73608.7 1 0.87187 111171 96926.7 0 0 
1975 2 1 3 0 0 0.169448 1.27113 1.44058 313705 166199 211261 166807 0.0216322 0.0216322 3608.4 3608.4 1 0.94676 6786.13 6424.84 0 0 
1975 3 1 0 0 0 0.329164 0.0271429 0.356307 3.17038e+008 2.66707e+008 7.2392e+006 5.24002e+006 0.00480279 0.00480279 25166.8 25166.8 1 0 1.52267e+006 0 0 0 
1975 3 1 1 0 0 0.298634 0.158269 0.456903 2.52511e+007 2.02691e+007 3.20798e+006 4.75588e+006 0.0105762 0.0105762 50299 50299 1 0.409297 267060 109307 0 0 
1975 3 1 2 0 0 0.218145 0.36014 0.578284 1.41789e+006 1.07672e+006 387771 2.20678e+006 0.0154459 0.0154459 34085.8 34085.8 1 0.87187 21900.6 19094.5 0 0 
1975 3 1 3 0 0 0.218145 0.845735 1.06388 74282.2 45725.5 38671.6 66185.8 0.0191701 0.0191701 1268.79 1268.79 1 0.94676 1424 1348.19 0 0 
1975 4 1 0 0 0 0.473564 0 0.473564 2.22008e+008 1.76842e+008 0 0 0.00616806 0.00616806 0 0 1 0 1.36936e+006 0 0 0 
1975 4 1 1 0 0 0.44162 0 0.44162 1.599e+007 1.29264e+007 0 0 0.0116102 0.0116102 0 0 1 0.409297 185647 75984.6 0 0 
1975 4 1 2 0 0 0.422889 0 0.422889 795238 648484 0 0 0.016961 0.016961 0 0 1 0.87187 13488 11759.8 0 0 
1975 4 1 3 0 0 0.422889 0 0.422889 25635.9 20905 0 0 0.0171267 0.0171267 0 0 1 0.94676 439.057 415.682 0 0 
1976 1 1 0 0 0 0.489721 0.00187682 0.491597 3.34905e+008 2.64568e+008 496546 2.14321e+006 0.00487682 0.00487682 10452.1 10452.1 1 0 1.63327e+006 0 0 0 
1976 1 1 1 0 0 0.466338 0.379331 0.845669 1.38262e+008 9.3311e+007 3.53958e+007 4.22098e+007 0.00700833 0.00700833 295820 295820 1 0.409297 968985 396603 0 0 
1976 1 1 2 0 0 0.415041 0.649863 1.0649 1.02815e+007 6.32623e+006 4.11118e+006 2.88865e+006 0.0113282 0.0113282 32723.3 32723.3 1 0.87187 116471 101547 0 0 
