Sprat      

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        530862875         610743        4663685         463344          1.153
1975        725297366         599071        4688864         732312          1.609
1976        337862808         502265        2738904         628598          1.653
1977        649272984         343353        4145597         385257          1.442
1978       1006735231         398251        4706468         458804          0.972
1979        528398290         608532        3944219         463638          0.662
1980        325109669         412008        2791511         387434          2.097
1981        103030375         301503        1018533         280582          1.013
1982         53915331         188178         761662         162357          0.996
1983         75153368          93406         498357         115440          1.668
1984         33605743          72258         353183         113444          0.952
1985         22046422          63535         245742          62514          1.261
1986         88517799          22692         600977          27520          0.984
1987         41666416          61360         415709          53942          0.369
1988         63889543          61278         373190         103652          1.274
1989         58740928          44357         412283          58420          0.259
1990         77189158          45049         439295          78180          1.506
1991        120232120          90114        1740761         125815          0.657
1992        110691784         129589        1177263         156471          0.782
1993        176999044         177828        1506822         208848          1.581
1994        146190949         155343        1329384         424206          0.655
1995         36507463         229960         537430         446555          1.572
1996         63209961         111124         633140          95496          1.324
1997         50506673         112317         595793         125174          0.994
1998        113841728         138226         896971         188907          1.644
1999         78686922         134428         715764         243158          0.889
2000         74609167         187100         844492         222027          1.425
2001         64069189         127411         760870         153321          1.480
2002         85660771         115316         854453         174713          1.589
2003        113498880         145364         787099         174988          1.223
2004        206896335         182387        2207756         231352          1.800
2005         68702749         250912        1081438         280275          1.304
2006         90168288         181978         878463          78028          1.638
2007         62547066         142343         699281          99902          1.541
2008        151682720         106594        1547685          69891          1.207
2009        114501300         204318        1171702         170934          0.868
2010        125926424         193395        1191802         145415          0.942
2011         90912366         173555         797826         122472          0.834
2012         65900589         139487         813357          96030          1.373
2013        179930343         101111        1295399          60207          1.038
2014        282598249         230411        2944311         190268          0.715
2015                          459874

