Sprat      

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        533666972         605537        4678598         463344          1.148
1975        712689488         604919        4637899         732312          1.609
1976        330408956         497138        2688308         628598          1.653
1977        631496985         337814        4038273         385257          1.442
1978       1033370520         388589        4785516         458804          0.957
1979        534780006         620006        4006216         463638          0.626
1980        328621695         425400        2832616         387434          2.158
1981         94281258         302477         989900         280582          1.049
1982         49287196         180980         706619         162357          0.963
1983         66959819          87421         450172         115440          1.615
1984         33535940          65603         337632         113444          0.925
1985         23326365          60375         250200          62514          1.269
1986         79160661          23029         543126          27520          1.054
1987         40836345          55468         395986          53942          0.356
1988         60893045          57437         355484         103652          1.255
1989         54629687          42534         385989          58420          0.296
1990         73835187          41934         417970          78180          1.487
1991        112581686          86150        1634178         125815          0.692
1992        104251381         121347        1107205         156471          0.802
1993        150398883         166606        1312547         208848          1.564
1994        128713055         135418        1164144         424206          0.682
1995         36331911         198547         481871         446555          1.448
1996         60863767         108156         612989          95496          1.335
1997         49103405         108683         577725         125174          0.983
1998        109863908         134493         867743         188907          1.651
1999         77583031         130030         699976         243158          0.869
2000         73316903         184184         830826         222027          1.425
2001         61396827         125529         735955         153321          1.498
2002         82224950         111263         820745         174713          1.582
2003        106874405         140000         747555         174988          1.216
2004        188358807         173260        2023814         231352          1.848
2005         66445350         228945        1014865         280275          1.275
2006         84862867         172427         830858          78028          1.622
2007         60934317         135343         673007          99902          1.561
2008        140415343         102509        1441552          69891          1.318
2009        114653043         187981        1137740         170934          0.846
2010        120614222         188164        1150967         145415          0.980
2011         91679850         166525         788300         122472          0.890
2012         72997195         134527         868802          96030          1.350
2013        171319456         108282        1259870          60207          1.198
2014        188465282         219557        2110277         190268          0.568
2015        101492248         349774        1437885         298227          1.361
2016        133857045         224605         939349         227169          2.203
2017        190733677         174277        1602749         135824          1.393
2018        158389359         217500        1191292         190052          1.400
2019                          216305

