Sprat      

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        534073966         610653        4686822         463344          1.156
1975        721714967         605114        4681832         732312          1.622
1976        333345074         502166        2714488         628598          1.668
1977        642784056         341458        4105153         385257          1.447
1978       1013021581         395183        4722898         458804          0.977
1979        524334838         611492        3931525         463638          0.659
1980        327714889         413608        2807911         387434          2.116
1981        102890022         303578        1022878         280582          1.022
1982         53245508         189683         757648         162357          0.987
1983         72715673          93564         487033         115440          1.653
1984         33424620          70832         348273         113444          0.960
1985         22364957          62522         246427          62514          1.280
1986         87465057          22641         594506          27520          1.001
1987         40745057          60724         408071          53942          0.366
1988         62797608          60521         366985         103652          1.278
1989         57454865          43643         403792          58420          0.265
1990         76382210          44140         433817          78180          1.507
1991        119511722          89261        1729610         125815          0.687
1992        109377426         128312        1164303         156471          0.795
1993        171755552         175950        1468867         208848          1.599
1994        143360407         151458        1301044         424206          0.670
1995         36449126         224291         527680         446555          1.551
1996         63829267         111629         638141          95496          1.350
1997         49745227         112878         592160         125174          1.000
1998        113249557         137857         891724         188907          1.665
1999         79028065         133646         715977         243158          0.885
2000         75346409         188128         851248         222027          1.435
2001         63896295         128698         762185         153321          1.507
2002         86118501         115422         857660         174713          1.602
2003        112346959         146206         784083         174988          1.240
2004        205874841         181467        2195970         231352          1.838
2005         68670512         249329        1078038         280275          1.317
2006         87415745         182082         861176          78028          1.665
2007         62830187         138828         692787          99902          1.563
2008        154314728         105931        1570535          69891          1.281
2009        123964675         205550        1236442         170934          0.856
2010        131560151         204694        1253450         145415          1.002
2011         94954644         180305         832227         122472          0.905
2012         74114293         142181         890359          96030          1.387
2013        193666978         110299        1399966          60207          1.171
2014        237522186         245335        2592693         190268          0.585
2015         98714976         419921        1566080         298227          1.103
2016                          277784

