Sprat      

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 1-2
1974        538593744         610988        4721656         463344          1.149
1975        721914697         614300        4698112         732312          1.626
1976        334905110         504948        2725908         628598          1.675
1977        642452836         344396        4108236         385257          1.457
1978       1047291207         396048        4854242         458804          0.978
1979        532662305         629258        4014805         463638          0.644
1980        328377470         427173        2832012         387434          2.162
1981         97287210         304580        1003645         280582          1.078
1982         50025710         183019         717840         162357          0.995
1983         69727528          88432         464446         115440          1.657
1984         33486132          67730         342362         113444          0.960
1985         22594875          61320         246606          62514          1.286
1986         81487213          22682         556935          27520          1.078
1987         40570755          56681         397462          53942          0.370
1988         62510391          58018         362776         103652          1.298
1989         55423395          43175         392125          58420          0.293
1990         75054142          42781         424999          78180          1.531
1991        116602992          87438        1688637         125815          0.712
1992        106027406         125071        1130235         156471          0.822
1993        158990135         170321        1374968         208848          1.600
1994        135387232         142015        1224731         424206          0.699
1995         36352357         209054         501222         446555          1.498
1996         62370518         110616         626579          95496          1.370
1997         49094603         110614         582489         125174          1.000
1998        113426762         136000         889312         188907          1.677
1999         78654162         133756         714466         243158          0.894
2000         74496913         187992         844853         222027          1.458
2001         62403485         127343         747709         153321          1.519
2002         84720699         113441         842987         174713          1.607
2003        109842320         144064         768897         174988          1.250
2004        197894437         178055        2117924         231352          1.867
2005         67233113         240459        1046614         280275          1.326
2006         85971422         177257         844495          78028          1.668
2007         61931406         136722         682589          99902          1.584
2008        145600445         104427        1490853          69891          1.323
2009        117541661         194879        1171303         170934          0.899
2010        123378920         192080        1177106         145415          1.016
2011         92229186         169214         797091         122472          0.916
2012         73808259         135685         877599          96030          1.389
2013        178361656         108971        1304673          60207          1.192
2014        191516410         228324        2156569         190268          0.591
2015        115891735         358071        1561182         298227          1.419
2016        252389798         239013        1460375         227169          2.232
2017                          288615

