"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",0.379539241397305,0.0180411574637839,0.00476177097605904,0.00464700844587445,0.382846751558518,0.0293935803411742,622054.696253993,7094.18654150771,7878.60210655727,1827.307634844,1404215.99231041,NA
"fmsyAR",0.212731133256913,0.0180411574637839,0.00438096778731281,0.0043000954543803,0.215795855144752,0.027811629730495,287945.049577279,7666.51464663932,7878.60213822738,1827.30763528513,1161977.68154866,1159444.31145112
"fmsyAR_transfer",0.231511674757695,0.0180421826936305,0.00438662998303645,0.00430033981707559,0.234579949139182,0.0279147378098959,309818.181666817,7666.51464663923,7878.60213822735,1827.30763527713,1147247.67623942,1133776.78448004
"fmsyAR_no_transfer",0.210415025045057,0.0180411574637839,0.0081392030485858,0.00430490713523584,0.215825285886713,0.0315628157421134,285076.822947622,7657.9456297955,14590.0039596799,1827.30763528519,1162136.15477461,1154816.67711299
"mpA",0.200090532465471,0.028245638396975,0.00476076168087004,0.00462348605185443,0.203548074516524,0.038654561872038,250634.619185781,16273.5932592382,8553.3046883145,1954.441419976,1171761.76816251,1174202.65434104
"mpAC",0.200090532465471,0.028245638396975,0.00476076168087004,0.00462348605185443,0.203548074516524,0.038654561872038,250634.619185781,16273.5932592382,8553.3046883145,1954.441419976,1171761.76816251,1174202.65434104
"mpAD",0.200090532465471,0.028245638396975,0.00476076168087004,0.00462348605185443,0.203548074516524,0.038654561872038,250634.619185781,16273.5932592382,8553.3046883145,1954.441419976,1171761.76816251,1174202.65434104
"mpB",0.204042737475874,0.035756536843346,0.0047588638568102,0.00461712049066075,0.207610150110727,0.0461774364145192,255345.226381939,20525.1223280877,8538.46671548212,1944.56541410057,1168527.70128399,1166914.47951395
"fmsy",0.256944228148049,0.0180411574637839,0.00439475627451909,0.00430146157540858,0.260017575475154,0.028053202277002,338647.669205739,7665.49535638878,7879.50319450448,1827.64513852115,1127712.38521752,1100673.19420147
"nf",0,0,0,0,0,0,0,0,0,0,1351154.7310907,1560284.6444171
"tacro",0.559027863517066,0.0180411574637839,0.00448112119059784,0.00430449247083939,0.562155154963402,0.0296895866916503,622864.42,7658.68334172831,7878.60213067598,1827.30763517754,927515.348503682,815235.845139381
"-15%",0.451647967177866,0.0180411574637839,0.00445097797762194,0.00430314422500301,0.454756426669105,0.0291081962764115,532776.219989307,7661.08293359159,7878.60213822895,1827.30763528514,992499.55677511,898123.014652514
"+15%",0.680358466103319,0.0180411574637839,0.0045142909329065,0.004306000228951,0.683506480684481,0.0303456055606078,712952.619999901,7656.0016326299,7878.6021382274,1827.30763528513,861082.491368206,738670.592422005
"fsq",0.379788293065079,0.0180411574637839,0.00443087517432326,0.00430302772684872,0.382884204923545,0.028719979229096,466182.996372547,7662.69878314071,7879.50485484362,1827.64356403044,1039614.58814047,963763.420758389
"fpa",0.296942494041394,0.0180411574637839,0.0044066423478547,0.00430197352950669,0.300023266894704,0.0282704338479897,382229.988068999,7664.58096141497,7879.50375921047,1827.64462185745,1097917.58362804,1052169.12234655
"flim",0.336941594984994,0.0180411574637839,0.00441840611757536,0.00430248355282291,0.340029717007776,0.0284875454609236,423782.33115886,7663.67025776618,7879.50430370694,1827.64411343824,1069211.6255342,1007602.70557096
"bpa",0.608400917192891,0.0180411574637839,0.00449524752656391,0.00430589497802527,0.611537045464146,0.029957957934707,660909.596463715,7657.58418657105,7879.50636189144,1827.64067987056,899636.932414598,782159.802013258
"blim",0.804927031575157,0.0180411574637839,0.00454795979788826,0.00430831323342393,0.808096092703729,0.031019510602759,794540.426251599,7653.27579626389,7879.50711441083,1827.63824650811,799669.777835582,674340.345230461
"MSYBtrigger",0.00000000379539241397305,0.0180411574637839,0.00431500848573088,0.00429811894034645,0.00302353205662668,0.0266542849092977,0.00588947423599273,7671.46161181751,7879.08315220779,1827.64628711233,1348868.36442704,1544996.63374197
