Year,Recruits Age 0 (Thousands) Mean,Recruits Age 0 (Thousands) Low,Recruits Age 0 (Thousands) High,Total biomass (tonnes) Mean,Total biomass (tonnes) Low,Total biomass (tonnes) High,Spawing biomass (tonnes) Mean,Spawing biomass (tonnes) Low,Spawing biomass (tonnes) High,Landings (tonnes) Mean,Landings (tonnes) Low,Landings (tonnes) High,Yield / SSB (ratio) Mean,Yield / SSB (ratio) Low,Yield / SSB (ratio) High,Mean F ages 3-6 Mean,Mean F ages 3-6 Low,Mean F ages 3-6 High,SoP (%),WG Catch
1957,1218340.202,667490.2083,2223782.205,712831.2533,500634.5136,1014968.768,355755.8642,242776.853,521310.9627,37123.29689,32047.31361,43003.26663,0.104350485,0.132003168,0.082490624,0.13919214,0.093022377,0.208277324,0.753097262,48508
1958,2090680.147,1191536.728,3668324.587,737484.2419,517512.418,1050956.437,357181.7376,240348.3961,530807.7596,50970.38211,43582.87252,59610.11062,0.142701535,0.181332071,0.112300752,0.18381968,0.123187019,0.274295743,0.773296373,66494
1959,3162900.36,1777539.033,5627971.313,833175.8472,571586.096,1214483.693,336381.0925,224144.1835,504818.9858,49861.27857,42412.98482,58617.59345,0.148228541,0.189221885,0.116116064,0.180956248,0.119819792,0.273286769,0.744563076,70447
1960,2160823.593,1225517.792,3809947.624,861129.3462,595156.2172,1245964.89,392778.0606,263375.5923,585758.929,41814.56488,36019.95322,48541.36888,0.106458504,0.136762685,0.082869192,0.134592982,0.088900634,0.203769872,0.601167235,69160
1961,3011654.038,1737240.339,5220958.69,915293.447,636483.6441,1316235.071,426769.7843,289809.3002,628456.1907,33489.92747,28874.95588,38842.49196,0.078473052,0.099634332,0.061806205,0.10007854,0.067080922,0.149307939,0.633184277,52535
1962,3580453.406,2068384.447,6197903.205,1016626.143,713743.405,1448039.601,429338.1003,295256.8103,624308.0529,49069.84646,42365.93761,56834.56964,0.114291852,0.143488435,0.091036099,0.134781545,0.091956724,0.197550151,0.798982392,65594
1963,3328392.458,1936994.301,5719271.528,1045493.938,739135.6929,1478832.081,460468.625,320191.5854,662201.5203,39497.79,34233.13796,45572.08331,0.085777375,0.106914546,0.068819056,0.10320892,0.070929731,0.150177943,0.724461369,54089
1964,2186909.68,1241066.44,3853600.253,1008525.58,728039.6573,1397072.034,506865.0127,357504.9188,718625.4722,41522.885,36096.32144,47765.25446,0.081920993,0.100967342,0.066467522,0.100058526,0.069837679,0.143356836,0.61449826,70403
1965,7282610.929,3866276.279,13717700.99,1346474.159,908232.4255,1996176.981,470711.1899,336004.5565,659422.6774,45844.01799,38887.21296,54045.37443,0.097393092,0.115734183,0.081958623,0.109339233,0.077483397,0.154291995,0.873014696,76685
1966,2195674.837,1243454.561,3877092.209,1589611.175,1149925.827,2197414.5,717121.0975,509984.9018,1008388.026,88610.00026,74468.41539,105437.0783,0.123563511,0.146020824,0.104560026,0.152926174,0.109963235,0.212674851,1.013043134,112834
1967,3771562.765,2263271.747,6285010.056,1460077.391,1082333.158,1969657.839,763753.2158,545302.3007,1069716.695,81389.37376,68068.08138,97317.71526,0.106565016,0.124826323,0.090975223,0.143617753,0.104378955,0.197607448,0.839920068,109281
1968,4180744.924,2533127.34,6900019.53,1519664.28,1151506.45,2005528.951,746387.3647,548781.9144,1015146.607,72911.37927,60912.84798,87273.36518,0.097685709,0.110996457,0.085971193,0.119851716,0.088585171,0.162153932,0.836435873,105345
1969,3813278.974,2337168.706,6221671.758,1470333.789,1150814.373,1878566.605,708567.0711,539788.3515,930118.801,98223.42405,83575.67267,115438.3892,0.13862262,0.154830449,0.124111446,0.167177359,0.127136699,0.219828496,0.794520986,126777
1970,5147388.208,3190541.469,8304422.814,1576945.017,1252928.288,1984754.923,673336.1743,526723.8045,860757.763,136216.3896,116586.1542,159151.8728,0.202300715,0.221342102,0.1848974,0.239428607,0.186204602,0.307865956,0.774969222,186236
1971,8260535.716,4880793.661,13980605.42,1887945.955,1456111.959,2447847.439,609869.3299,479316.3036,775981.5321,227066.9076,187025.6702,275680.7687,0.372320588,0.39019259,0.355267177,0.391398131,0.307347454,0.498434247,1.025545491,222211
1972,4089772.897,2543502.942,6576065.657,1756792.041,1382128.417,2233018.465,694536.5031,538695.4164,895461.4043,158895.1771,134156.9631,188195.0568,0.228778727,0.249040476,0.210165459,0.276097835,0.216518518,0.35207157,1.03490144,188230
1973,2226630.468,1358489.529,3649555.729,1519664.28,1230278.593,1877119.164,745641.3504,576138.4066,965012.9501,242558.9372,203198.278,289543.9795,0.325302422,0.352690041,0.300041548,0.364401135,0.290527687,0.457058631,1.033122686,246989
1974,2657775.36,1654376.568,4269747.287,1091430.741,896413.6066,1328874.365,459548.6081,359366.6301,587658.6905,220135.8203,185569.7312,261140.5377,0.479026193,0.516379974,0.444374502,0.488615206,0.390967829,0.610650803,1.106940153,214749
1975,2946121.154,1807562.119,4801843.19,836515.2249,666618.5018,1049712.421,288081.873,225876.6652,367418.0575,147561.4532,124249.7833,175246.8447,0.512220542,0.550077996,0.476968513,0.481051955,0.38005823,0.608882968,0.980579675,152765
1976,1861698.87,1122627.862,3087330.007,682829.1767,531747.2705,876837.006,244996.6951,184616.2822,325125.0641,120210.5419,102119.4617,141506.5663,0.490661892,0.553144395,0.435237335,0.474250318,0.363237786,0.619190438,0.988849156,126409
1977,1828488.084,1091463.485,3063197.92,538746.2716,403677.0274,719009.3207,211927.603,155058.2916,289654.3516,58395.84389,50162.724,67980.25131,0.275546192,0.323508814,0.23469439,0.28987659,0.2134037,0.393753421,0.920003037,61908
1978,2107472.668,1257625.529,3531608.532,541446.7486,397016.0551,738419.965,205664.1958,149198.1251,283500.6231,38676.98503,33290.02095,44935.66324,0.188058913,0.223126269,0.158502873,0.199169312,0.144248756,0.27500005,0.996062884,41871
1979,1899307.682,1141653.262,3159776.957,537669.8559,395787.3694,730414.6021,216641.6749,159045.7539,295095.0539,22697.27155,19531.76434,26375.81155,0.104768723,0.122805947,0.089380731,0.110891836,0.080345114,0.153052237,0.937978737,22668
1980,2022813.658,1228419.326,3330926.995,623435.1319,473039.4179,821646.8838,275130.2773,206350.3642,366835.6476,32630.41148,28162.24021,37807.49491,0.118599857,0.136477783,0.103063852,0.130889739,0.097369486,0.175949616,1.0375372,30430
1981,2922646.21,1776089.863,4809362.996,797310.9243,612486.3895,1037908.304,318379.7081,242029.6698,418814.9271,69912.51824,60098.66336,81328.93368,0.219588487,0.248311141,0.19418824,0.243655485,0.185312072,0.320367662,0.969914896,76342
1982,2294441.462,1376760.178,3823804.395,810170.5014,624111.8013,1051696.571,320616.1846,242073.0454,424643.4693,108988.756,94020.57497,126339.8883,0.339935291,0.388397539,0.297519914,0.325921084,0.2473162,0.429509079,1.023506467,111569
1983,4193305.991,2456656.9,7157619.417,861990.9063,631213.351,1177142.913,268069.0834,197938.0932,363048.0233,98814.53616,84977.7452,114904.3498,0.368615936,0.429314761,0.316499037,0.342631415,0.253644195,0.462838453,1.018196257,96511
1984,2639235.896,1564400.435,4452546.778,917125.8658,672838.8973,1250105.868,348014.7003,250872.3693,482772.3034,81145.57153,68955.59875,95490.48806,0.23316708,0.274863266,0.197796119,0.230454922,0.166822384,0.318359383,0.97556458,83462
1985,3399027.774,2012397.187,5741108.109,994504.5973,727522.0596,1359463.1,421679.1518,300803.8289,591127.1399,62567.42161,52836.10274,74091.04842,0.148376844,0.175649701,0.1253386,0.195088886,0.14042384,0.271034272,1.00783324,62485
1986,2822123.01,1657402.209,4805338.282,1057057.857,776974.1812,1438106.103,472125.4438,337384.1935,660678.3571,98125.24972,83915.41112,114741.3151,0.207837241,0.2487236,0.173671975,0.223264078,0.159893582,0.311750154,1.038889733,99549
1987,3641841.433,2061275.657,6434369.407,1041320.315,747423.7707,1450780.724,427196.7675,299857.6677,608612.3447,95894.12526,82772.16563,111096.3231,0.224472965,0.276038183,0.182540371,0.250148634,0.175360609,0.356832355,1.014841039,92960
1988,1823010.84,1037316.035,3203814.855,996495.5968,707900.1984,1402745.015,482627.3004,333534.2374,698366.4193,65841.13013,57203.81552,75782.60956,0.136422308,0.171508077,0.108514109,0.176047752,0.120829019,0.256501389,1.012614398,64691
1989,1964994.492,1123532.615,3436663.342,1011555.699,710587.378,1439998.745,555153.5383,376762.6905,818009.4761,64344.06637,55254.44563,74928.97321,0.115903191,0.146655831,0.091599151,0.145657107,0.099215205,0.21383812,1.008645866,63236
1990,2051332.213,1165610.568,3610094.113,1048635.13,729436.502,1507513.858,568638.3942,379121.95,852890.8004,82289.59903,70595.80765,95920.40002,0.144713406,0.186208706,0.112465042,0.168992659,0.114059299,0.250383083,0.99331893,88662
