Year ,AgreedTAC,OfficialLandings ,ICEScatch 
2000,12,1.7,1.7
2001,12,1.3,1.3
2002,12,1.2,1.2
2003,9.6,1.4,1.4
2004,9.6,0.8,0.8
2005,7.7,1.6,1.6
2006,6.1,2,2
2007,6.1,1.8,2.7
2008,6.1,3.4,3.4
2009,6.1,2.8,2.8
2010,5.5,4.4,4.4
2011,5.4,3.1,3.1
2012,5.1,4.4,4.4
2013,5.15,3.8,3.8
2014,5.15,3.7,3.7
2015,5.15,3,3
2016,5.15,3.1,3.3
