year	R	SSB
1958	416132	164767
1959	1556490	166792
1960	360855	164858
1961	388774	141465
1962	832844	141843
1963	402677	133336
1964	1373820	155841
1965	418496	162655
1966	737645	159801
1967	771353	154947
1968	903588	159294
1969	467116	139707
1970	253033	105402
1971	822709	96520.1
1972	281054	84564.1
1973	325801	63401.1
1974	162111	49201.7
1975	203103	38958.6
1976	226247	36255.7
1977	185503	37006.6
1978	147208	35919.9
1979	280881	35947.4
1980	167500	32988
1981	464006	36292.9
1982	721610	57056.5
1983	781099	75684.1
1984	662563	78063.5
1985	637792	83967.1
1986	648198	91661.3
1987	1189280	103654
1988	473219	107080
1989	572427	94036.7
1990	501415	87666.9
1991	207514	69598.1
1992	954574	69382.8
1993	358080	72004.9
1994	762863	78742.2
1995	714985	80166.9
1996	349939	70750.2
1997	368348	58228.3
1998	244887	46259.5
1999	467131	39744.7
2000	449799	38858.1
2001	451961	37397
2002	490296	47722.9
2003	143963	37602.3
2004	359862	35015.4
2005	1087700	52586.1
2006	370229	66860.9
2007	823782	72267.5
2008	348151	89064.5
2009	1274910	107503
2010	1006760	124130
2011	1325620	141733
2012	905675	136910
2013	494823	127485
2014	357287	103650
2015	132033	69979
2016	263363	46048.2




