"year","catch","ssb","tsb","fbar","recr"
1958,22978,164767,232203.8019,0.150374,416132
1959,15086,166792,286645.1898,0.125799,1556490
1960,18283,164858,227301.4437,0.135753,360855
1961,15372,141465,199697.479,0.124793,388774
1962,21552,141843,235138.6391,0.200257,832844
1963,17349,133336,193625.5312,0.158909,402677
1964,10599,155841,277029.6749,0.0986074,1373820
1965,19126,162655,231376.78,0.142096,418496
1966,27030,159801,259754.0369,0.201389,737645
1967,27658,154947,255644.98898,0.228178,771353
1968,30236,159294,271640.92956,0.245485,903588
1969,44389,139707,227459.8544,0.367975,467116
1970,31727,105402,164334.90544,0.332666,253033
1971,31396,96520.1,191512.93908,0.457575,822709
1972,38203,84564.1,147479.3972,0.568608,281054
1973,26936,63401.1,116937.4089,0.523534,325801
1974,19940,49201.7,85331.47806,0.501117,162111
1975,15588,38958.6,73138.58179,0.522329,203103
1976,9771,36255.7,67917.08473,0.392477,226247
1977,7833,37006.6,64001.119636,0.293641,185503
1978,7559,35919.9,58886.26931,0.270054,147208
1979,10321,35947.4,70746.17667,0.427757,280881
1980,13130,32988,60098.16213,0.550278,167500
1981,17103,36292.9,86567.392984,0.851749,464006
1982,13000,57056.5,125879.37164,0.469843,721610
1983,24981,75684.1,158037.889591,0.573156,781099
1984,26779,78063.5,147453.10372,0.486699,662563
1985,20426,83967.1,152396.326642,0.328071,637792
1986,25024,91661.3,168660.587148,0.37733,648198
1987,26200,103654,208692.705194,0.403662,1189280
1988,20447,107080,168324.57717,0.239719,473219
1989,23254,94036.7,162265.70617,0.292773,572427
1990,18404,87666.9,145282.85217,0.254926,501415
1991,25562,69598.1,110091.96784,0.391072,207514
1992,21127,69382.8,150729.4609,0.502893,954574
1993,18618,72004.9,117550.7237,0.338547,358080
1994,19300,78742.2,149565.2415,0.331115,762863
1995,23305,80166.9,147631.35731,0.400682,714985
1996,18816,70750.2,114557.8822,0.318836,349939
1997,20496,58228.3,102788.13042,0.423264,368348
1998,18041,46259.5,81054.44408,0.466561,244887
1999,18485,39744.7,84373.0777,0.66692,467131
2000,17191,38858.1,82315.52859,0.69758,449799
2001,15269,37397,76461.86364,0.605788,451961
2002,7465,47722.9,89668.9421,0.241479,490296
2003,11536,37602.3,59050.01034,0.356627,143963
2004,12743,35015.4,65580.065894,0.422611,359862
2005,9494,52586.1,115933.312479,0.32884,1087700
2006,6944,66860.9,103166.36679,0.135984,370229
2007,7636,72267.5,123881.64508,0.128072,823782
2008,5872,89064.5,127074.80365,0.0740204,348151
2009,5745,107503,188725.08072,0.0682456,1274910
2010,8370,124130,198571.28512,0.0848084,1006760
2011,11470,141733,228858.18931,0.103645,1325620
2012,21820,136910,209867.6063,0.190997,905675
2013,16247,127485,180057.255,0.149353,494823
2014,19574,103650,149182.9925,0.204775,357287
2015,18355,69979,99431.0695,0.272632,132033
2016,16318,46048.2,74490.6709,0.40513,263363
