2017
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",496445,0.767005,0.5,0.551,0.5,0.063,0.0196666666666667,0.0663333333333333
"2",119048.18280401,0.384728,1,0.551,0.5,0.098,0.224333333333333,0.099
"3",30085.0209593804,0.355633,1,0.551,0.5,0.121333333333333,0.317333333333333,0.122666666666667
"4",40953.1821971392,0.338791,1,0.551,0.5,0.135333333333333,0.317333333333333,0.136
"5",31819.5874994176,0.319385,1,0.551,0.5,0.144,0.317333333333333,0.145333333333333
"6",35282.2681232661,0.313574,1,0.551,0.5,0.149,0.317333333333333,0.152
"7",31314.5660892429,0.306805,1,0.551,0.5,0.155333333333333,0.317333333333333,0.157333333333333
"8",15231.5261784884,0.306805,1,0.551,0.5,0.165666666666667,0.317333333333333,0.167666666666667
"9",29573.5789347922,0.306805,1,0.551,0.5,0.165333333333333,0.126333333333333,0.173333333333333
""
2018
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",496445,0.767005,0.5,0.551,0.5,0.063,0.0196666666666667,0.0663333333333333
"2",-,0.384728,1,0.551,0.5,0.098,0.224333333333333,0.099
"3",-,0.355633,1,0.551,0.5,0.121333333333333,0.317333333333333,0.122666666666667
"4",-,0.338791,1,0.551,0.5,0.135333333333333,0.317333333333333,0.136
"5",-,0.319385,1,0.551,0.5,0.144,0.317333333333333,0.145333333333333
"6",-,0.313574,1,0.551,0.5,0.149,0.317333333333333,0.152
"7",-,0.306805,1,0.551,0.5,0.155333333333333,0.317333333333333,0.157333333333333
"8",-,0.306805,1,0.551,0.5,0.165666666666667,0.317333333333333,0.167666666666667
"9",-,0.306805,1,0.551,0.5,0.165333333333333,0.126333333333333,0.173333333333333
""
2019
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",496445,0.767005,0.5,0.551,0.5,0.063,0.0196666666666667,0.0663333333333333
"2",-,0.384728,1,0.551,0.5,0.098,0.224333333333333,0.099
"3",-,0.355633,1,0.551,0.5,0.121333333333333,0.317333333333333,0.122666666666667
"4",-,0.338791,1,0.551,0.5,0.135333333333333,0.317333333333333,0.136
"5",-,0.319385,1,0.551,0.5,0.144,0.317333333333333,0.145333333333333
"6",-,0.313574,1,0.551,0.5,0.149,0.317333333333333,0.152
"7",-,0.306805,1,0.551,0.5,0.155333333333333,0.317333333333333,0.157333333333333
"8",-,0.306805,1,0.551,0.5,0.165666666666667,0.317333333333333,0.167666666666667
"9",-,0.306805,1,0.551,0.5,0.165333333333333,0.126333333333333,0.173333333333333
""
