Survey,Year,Quarter,SpecCode,Genus,Family,IndexArea,Sex,PlusGr,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15
NS-IBTS,1990,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,481.022,223.894,64.929,61.114,38.965,6.726,,,,,,,,,
NS-IBTS,1990,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,234.942,451.979,102.164,28.063,2.214,0.005,,,,,,,,,
NS-IBTS,1991,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,676.784,93.381,23.330,2.631,0.082,0.036,,,,,,,,,
NS-IBTS,1991,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,492.498,726.822,698.114,128.355,299.990,75.452,,,,,,,,,
NS-IBTS,1991,2,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,1137.925,669.946,180.941,14.708,20.785,0.171,,,,,,,,,
NS-IBTS,1991,3,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,196.331,78.743,32.495,0.451,0.000,0.000,,,,,,,,,
NS-IBTS,1991,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,36.698,493.724,319.351,19.417,113.079,8.999,3.076,,,,,,,,,
NS-IBTS,1991,4,161789,Sprattus,sprattus,NS_SpratIV,,6,834.232,3191.385,279.515,297.844,8.939,0.099,0.032,,,,,,,,,
NS-IBTS,1992,1,161789,Sprattus,sprattus,NS_SpratIIIa,,6,0.000,5993.636,598.711,263.967,202.898,44.090,31.946,,,,,,,,,
NS-IBTS,1992,1,161789,Sprattus,sprattus,NS_SpratIV,,6,0.000,1060.780,297.691,43.248,7.234,0.531,0.000,,,,,,,,,
NS-IBTS,1992,2,161789,Sprattus,sprattus,NS_SpratIV,,6,0.524,2766.579,1998.295,380.720,106.461,0.000,0.250,,,,,,,,,
NS-IBTS,1992,3,161789,Sprattus,sprattus,NS_SpratIIIa,,6,7.519,1731.961,383.250,178.797,60.986,15.181,9.201,,,,,,,,,
