"Year","Recruits Age 0 (Thousands) Mean","Recruits Age 0 (Thousands) Low","Recruits Age 0 (Thousands) High","Total biomass (tonnes) Mean","Total biomass (tonnes) Low","Total biomass (tonnes) High","Spawing biomass (tonnes) Mean","Spawing biomass (tonnes) Low","Spawing biomass (tonnes) High","Landings (tonnes) Mean","Landings (tonnes) Low","Landings (tonnes) High","Yield / SSB (ratio) Mean","Yield / SSB (ratio) Low","Yield / SSB (ratio) High","Mean F ages 3-6 Mean","Mean F ages 3-6 Low","Mean F ages 3-6 High","SoP (%)","WG Catch"
1957,1279525.67395993,688133.679747585,2379168.46465524,709985.623343134,498479.62752686,1011234.0756128,350459.349454879,239725.548486182,512343.204117925,37123.2968886682,31219.4557130972,44143.6002135695,0.105927540373545,0.130229989712159,0.0861602142055721,0.13961034315923,0.0938153115641476,0.207759773879882,0.998175911251981,36598
1958,2069877.53157296,1180490.27802319,3629333.57052723,729416.369847701,513096.49198318,1036936.03233452,351512.306148567,237178.713178945,520961.176143412,50665.4754485481,42411.3443136107,60526.0324559821,0.144135708941963,0.178815981186358,0.116181464622846,0.185055407267753,0.124685389295141,0.274655306067751,1.00041964667886,51398
1959,2972755.92083259,1659452.02431257,5325419.25609815,808551.779615584,556380.894090956,1175015.15106422,331041.823049129,221665.595804263,494387.44975319,49069.8464560909,40976.5995472172,58761.5824111949,0.148228541046937,0.184857733102618,0.118857350526455,0.181663355456149,0.120845694412676,0.273088543832519,0.999109221128021,52499
1960,2189097.68301002,1238709.66122594,3868661.73386997,848308.800483049,586180.592846077,1227655.48665299,385385.726989792,259077.986102079,573272.012809808,41150.8556776668,34692.4762618327,48811.532224558,0.106778359435083,0.133907464635624,0.0851455001009301,0.135633348611426,0.0898991493256849,0.204633807922947,0.999128301252013,41613
1961,2946121.15378127,1698506.00151976,5110155.53962791,898965.556864894,624957.920967492,1293109.57636689,419156.651935617,284700.776302191,617112.117303784,33356.2353205095,28138.5420855599,39541.4386208796,0.079579401081849,0.0988354947641331,0.0640749671123614,0.10167233891425,0.0681692565152738,0.151641150699334,0.999529326923077,33280
1962,3460764.23565143,1993020.7289123,6009415.21631864,996495.596839963,698692.213352913,1421231.63181706,423792.827323536,291603.301188274,615906.472111291,47954.1200260527,40591.4121574453,56652.3189327197,0.113154628710701,0.139200797768875,0.091982015935827,0.13537588991228,0.0923151695952207,0.198522427569593,1.00079154811236,52367
1963,3246214.15523819,1890206.80181548,5575001.81014451,1023767.49178897,722500.072995101,1450657.12297994,451350.735373283,313556.234699226,649700.002034456,39261.512802122,33407.3521836579,46141.5313322928,0.0869867039646039,0.10654341546008,0.0710197494040423,0.105652486493565,0.0724782472552857,0.154011007784945,0.998735593220339,39235
1964,2376168.79830763,1335529.49947461,4227670.11905907,1005504.53663032,722848.980249776,1398686.86379663,494845.068683575,348172.874077344,703304.7667753,41689.3091659517,35547.3411289608,48892.5034485444,0.0842471953430935,0.102096813897869,0.0695182312963979,0.103281191077658,0.0718697374954327,0.14842136345771,1.00019699912147,43254
1965,6274472.65244742,3207787.48355638,12272947.4031937,1250432.43818576,842920.899133846,1854956.12230503,463703.213276135,330263.334976711,651058.25331103,45251.9028419626,38077.6509589418,53777.863372571,0.0975880725998227,0.115294817578303,0.082600693715313,0.112905962161037,0.0796807542310073,0.159985386867094,0.999598829396482,66974
1966,2376168.79830763,1326165.16394614,4257522.60091792,1516627.98873367,1091082.41199907,2108145.48095959,679423.55200718,479684.751783325,962332.78482566,85050.4594563092,70079.6183726712,103219.464113837,0.125180322650061,0.146095155437266,0.107259635898757,0.155035679225593,0.111041774680295,0.216459633341993,1.00089935465793,114203
1967,3638201.41231221,2184698.5202722,6058735.05828226,1425452.69223917,1050924.48851087,1933455.16259788,744896.081713869,527044.571579854,1052795.53660786,81064.4665142738,66180.4247793079,99295.943674548,0.10882654440571,0.125568933536166,0.0943164557806563,0.146548331072491,0.105928006455748,0.202745374511549,0.999295660410225,91852
1968,4122622.30230712,2495121.54147674,6811698.09364116,1485110.88876485,1118375.78638577,1972104.8852958,728687.3180645,530709.463093725,1000519.5769691,71897.732043083,58640.4259296372,88152.2224811533,0.0986674671847644,0.110494404203381,0.0881064444018125,0.122775229228116,0.0900514594846107,0.167390478713924,0.999981127150574,88116
1969,3921559.64005742,2398874.91503054,6410767.77874911,1463000.46815677,1137692.21983351,1881326.36622946,693842.313711628,524556.278292786,917760.736490505,98913.400116011,82345.9966021782,118814.042287652,0.142558904467624,0.156982196210062,0.129460803413746,0.171752636018563,0.129598664487171,0.227617839242821,0.999592995792315,100768
1970,5147388.20840564,3181923.35328939,8326915.02158369,1570649.83604972,1239929.64739512,1989581.354608,668639.279419268,518771.709868366,861801.978553844,134726.220236567,113190.835161181,160358.869986118,0.201493128482641,0.218190068980251,0.186073917183632,0.239883953418534,0.184906016852812,0.311208429488326,0.998935278687163,144481
1971,7542015.40982683,4310130.75841896,13197278.6048215,1819368.46212039,1391225.53985313,2379270.29524469,610479.504312714,476777.307371202,781675.678401652,213843.560291829,175320.954701918,260830.591277772,0.350287861887479,0.367720845752039,0.33368134443061,0.379026179912154,0.294914675521298,0.487126809830207,1.00034014749133,227810
1972,4077521.96360544,2535337.19007967,6557780.72784167,1722005.22805192,1341706.40719824,2210097.52173003,681464.883128886,523248.409161129,887521.832474144,158736.361301058,131466.68598668,191662.490082492,0.232934029663032,0.251250999878714,0.215952422880905,0.281084484008916,0.218596262680146,0.361435672238208,0.999786995550218,194841
1973,2380925.89141165,1433450.73961438,3954658.4641753,1515112.11880622,1214917.09759895,1889482.6133324,736747.126238598,563195.447207616,963779.680237253,236333.683852285,193607.772455571,288488.470348003,0.320779919507616,0.343766579462777,0.299330309886785,0.360739207000589,0.285278209835762,0.456160936870478,0.998290105513542,255607
1974,2652465.12125942,1646482.24951086,4273092.66260712,1097999.01064578,894590.365226985,1347657.96082904,463703.213276135,359544.057215922,598037.057454363,217509.977060209,179689.255560158,263291.146558808,0.469071532895938,0.499769783295977,0.440258915859742,0.479270558855226,0.380630115831534,0.603473711173882,0.998803738671171,237999
1975,2833434.10888024,1730028.43023365,4640587.81293074,832343.087842918,660828.215976762,1048373.84229406,291559.680597318,226760.48335346,374875.931171422,147561.453220738,122295.166594628,178047.776399795,0.506110628597305,0.539314279040418,0.474951208106178,0.479222634195613,0.375472216948497,0.611641348571162,1.00047589279155,149727
1976,1922236.67328988,1152382.38893592,3206395.60584783,685565.963365135,528796.421347738,888812.161260244,245487.178798601,183357.88907859,328668.459575613,118657.918744085,98647.4083554255,142727.537554245,0.483356887821146,0.538004712265986,0.434259915717313,0.469709904174753,0.355749374596381,0.620176477696328,1.00172644730094,124784
